Month,Day
12,25
3,5
11,25
10,2
2,10
4,11
10,15
8,31
7,23
7,12
3,10
7,26
4,26
7,25
11,12
1,30
3,18
5,15
6,26
5,10
1,2
12,25
7,7
12,1
12,1
4,22
2,2
10,3
4,16
2,21
8,30
1,23
5,19
5,19
8,16
5,24
3,9
11,5
8,20
5,7
10,20
10,15
3,13
1,29
1,29
1,13
7,18
7,26
4,21
11,23
12,12
9,14
8,31
4,29
12,5
10,30
8,28
6,14
12,14
10,20
8,19
9,6
3,11
6,15
11,2
10,15
5,9
8,25
8,25
3,1
1,9
2,7
8,28
12,29
3,21
11,26
5,7
5,22
8,26
11,15
12,18
10,17
7,25
9,27
5,31
2,25
12,23
8,21
8,31
3,5
9,22
9,10
12,20
12,7
9,16
6,12
6,8
12,22
8,29
1,23
10,19
12,24
5,9
5,7
1,26
8,3
8,5
8,4
11,28
10,12
3,17
3,17
2,8
4,2
9,26
6,10
6,10
5,8
9,24
9,19
7,14
10,23
7,15
11,20
5,16
4,6
10,29
6,14
11,5
5,9
5,9
10,20
1,25
3,12
6,30
4,7
12,18
10,25
1,15
8,29
8,29
10,6
12,5
11,23
6,30
1,1
5,16
1,2
4,8
5,9
8,26
12,21
3,4
3,14
10,17
9,8
3,12
9,19
12,23
6,9
9,10
3,15
7,16
6,13
8,26
2,28
12,14
6,1
1,15
5,1
2,11
4,3
9,3
7,30
7,29
11,13
10,9
4,20
7,7
11,7
5,22
11,23
5,23
11,19
7,1
9,26
5,21
7,17
4,21
7,14
11,5
12,10
9,8
6,18
7,1
9,28
12,5
6,16
2,7
10,7
11,2
10,10
5,14
6,29
9,24
10,13
7,17
2,16
4,19
9,29
6,12
4,7
11,6
3,28
12,21
2,20
9,8
4,11
9,8
5,17
1,8
6,30
2,4
2,17
6,20
4,18
7,1
7,13
1,14
6,18
7,17
1,12
12,4
5,3
1,9
4,16
4,17
7,19
1,31
3,3
4,17
10,19
4,30
3,18
7,15
7,1
7,5
10,21
6,16
3,7
5,5
9,4
6,30
12,3
8,21
5,7
6,25
11,24
10,8
5,1
10,1
3,2
7,31
11,24
11,2
8,26
8,24
5,8
2,29
2,12
12,31
4,8
4,8
9,20
8,15
2,26
1,30
7,3
10,21
8,13
3,23
1,18
4,16
9,15
11,21
10,18
5,28
1,21
6,20
5,24
11,7
7,17
2,11
8,16
4,16
10,16
3,20
6,25
12,29
6,25
5,21
8,2
9,29
10,30
5,11
12,20
10,15
11,4
11,29
11,29
4,23
8,19
7,21
1,10
4,7
11,21
9,24
2,6
12,5
6,4
10,3
1,11
9,22
10,20
7,26
7,16
11,13
7,10
3,9
4,5
4,8
8,16
11,2
7,3
1,9
2,18
12,8
2,21
12,2
4,27
11,4
5,5
9,1
8,5
10,23
12,12
2,28
11,14
3,6
5,20
1,8
5,4
4,7
11,7
5,4
2,5
9,22
12,22
11,13
4,26
2,19
10,22
8,26
2,14
11,2
11,13
8,3
7,3
9,29
8,26
5,22
8,26
7,25
1,13
12,22
1,9
3,23
12,2
5,6
6,26
11,19
11,19
3,6
9,10
1,25
7,3
5,10
8,20
8,24
10,16
7,24
9,19
3,17
10,19
12,30
5,18
11,8
4,14
7,19
6,23
8,13
1,20
2,10
9,14
5,31
6,25
11,28
1,13
12,25
4,12
5,20
8,4
8,2
6,6
6,10
1,14
1,13
5,24
12,29
1,17
5,13
12,29
5,16
7,22
3,12
10,27
5,22
4,19
12,21
1,23
1,18
6,5
4,2
4,11
4,23
4,23
5,7
2,22
2,20
6,14
1,20
1,20
8,18
12,2
2,26
6,10
3,20
5,31
9,18
9,3
9,5
6,1
3,29
3,4
10,5
6,21
6,20
10,21
8,9
2,2
10,10
11,22
12,30
9,5
6,2
12,29
5,20
11,19
1,29
5,19
5,19
3,19
10,6
4,13
4,24
7,29
3,16
6,21
7,13
4,10
3,2
4,17
7,17
11,7
8,24
1,9
7,24
8,16
8,25
8,30
10,11
5,27
9,14
10,3
8,10
12,27
9,30
2,27
6,20
9,14
1,25
6,18
10,14
1,29
1,24
6,7
4,28
8,16
8,16
11,7
4,29
3,13
9,20
9,17
4,15
11,5
10,12
8,10
8,10
3,7
11,20
2,19
11,9
3,31
8,4
6,26
8,15
7,13
10,8
7,4
9,2
3,9
3,11
6,2
2,13
12,23
10,23
8,8
12,18
3,27
2,15
8,22
9,23
11,24
4,16
2,25
9,23
11,7
2,18
8,20
1,10
10,24
8,18
1,30
9,18
6,4
7,17
5,17
7,9
9,12
9,8
6,21
4,4
2,4
7,2
11,18
11,18
7,7
7,7
11,5
4,20
8,5
12,29
5,22
10,5
6,16
11,22
10,23
9,9
10,8
8,21
7,22
8,11
5,9
9,27
5,10
1,6
3,8
4,9
4,20
3,30
10,29
9,17
4,5
6,5
9,9
10,15
10,25
3,28
3,28
11,15
12,3
6,24
6,10
11,25
12,1
9,13
1,6
10,29
3,6
7,28
8,16
4,13
4,13
8,20
7,19
3,26
3,5
1,26
7,16
3,27
2,24
3,16
11,4
5,12
2,1
8,9
4,14
6,9
2,10
12,18
12,18
1,10
12,4
4,29
3,6
2,3
8,24
11,17
3,5
4,13
1,20
1,22
9,6
7,8
5,18
2,22
6,4
1,29
8,19
2,26
12,1
1,19
12,3
1,6
8,17
7,25
8,18
5,23
12,16
5,5
8,24
5,10
8,9
3,28
11,28
6,15
10,1
3,12
9,15
12,9
6,30
11,2
8,3
2,11
12,7
6,29
12,2
12,17
5,17
12,3
11,8
1,28
3,21
8,11
9,13
12,3
1,4
7,11
8,20
7,10
6,25
7,9
7,9
6,6
9,7
2,13
9,15
12,10
5,22
9,24
10,13
5,23
2,12
12,2
12,27
12,14
7,17
4,6
3,12
4,10
9,15
7,8
9,6
9,6
2,17
10,16
8,22
10,19
10,19
8,28
3,31
5,5
12,7
4,29
2,21
5,11
2,2
1,2
1,8
8,27
2,2
6,6
12,11
11,7
8,11
6,16
12,14
5,3
2,14
4,14
6,23
12,16
12,23
8,5
11,11
8,4
8,4
2,15
2,15
5,1
11,16
9,23
7,22
5,8
10,28
4,29
3,29
9,17
3,14
11,6
1,22
2,13
8,5
10,7
1,15
2,11
3,3
11,4
12,9
8,3
4,20
4,9
9,29
1,28
10,27
1,22
11,18
7,1
4,3
2,16
11,22
8,8
9,18
2,26
2,26
11,13
11,29
5,12
1,3
1,11
2,28
10,15
2,16
10,18
11,12
4,28
8,3
2,7
6,5
1,27
10,11
9,3
1,26
11,12
1,28
8,7
9,27
1,7
9,9
11,29
8,21
11,14
7,29
7,24
5,23
11,29
8,16
2,10
12,28
2,23
4,10
1,27
7,7
4,29
10,2
4,8
4,20
11,29
1,23
4,8
11,9
7,23
10,2
6,18
1,19
10,19
10,19
10,19
7,8
9,29
11,24
2,8
8,16
7,31
1,6
3,23
10,13
1,6
2,3
5,3
5,14
3,6
11,6
5,30
6,26
5,28
3,3
10,4
6,1
7,29
7,15
5,27
1,11
8,9
2,7
7,22
7,19
7,7
9,9
9,7
12,13
7,8
5,8
11,20
10,21
4,29
3,27
2,12
2,27
1,1
7,11
10,22
2,27
8,22
10,30
5,8
9,7
11,3
4,23
5,9
10,14
6,2
7,9
1,22
3,28
1,8
3,17
7,16
9,6
3,17
5,30
7,31
6,17
8,20
11,17
6,8
6,24
2,11
7,1
9,9
2,26
3,14
6,1
5,28
4,2
4,2
7,7
2,15
11,17
8,26
6,17
3,19
3,3
4,14
9,4
4,22
3,24
12,19
