Date,Rank,Count,Month
9-Sep,1st,12301,9
19-Sep,2nd,12229,9
12-Sep,3rd,12224,9
17-Sep,4th,12148,9
10-Sep,5th,12143,9
7-Jul,6th,12108,7
20-Sep,7th,12107,9
15-Sep,8th,12087,9
16-Sep,9th,12072,9
18-Sep,10th,12055,9
20-Dec,11th,12009,12
26-Sep,12th,11993,9
8-Sep,13th,11992,9
23-Sep,14th,11974,9
29-Dec,15th,11956,12
8-Aug,16th,11951,8
24-Sep,17th,11945,9
8-Jul,18th,11944,7
19-Dec,19th,11935,12
29-Aug,20th,11924,8
15-Aug,21st,11921,8
22-Sep,22nd,11920,9
30-Dec,23rd,11889,12
14-Sep,24th,11882,9
25-Sep,25th,11866,9
27-Sep,26th,11861,9
1-Jul,27th,11860,7
28-Dec,28th,11855,12
28-Aug,28th,11855,8
2-Jul,30th,11828,7
22-Aug,31st,11825,8
21-Sep,32nd,11813,9
13-Sep,33rd,11801,9
30-Aug,34th,11800,8
11-Jul,35th,11794,7
16-Aug,36th,11788,8
1-Aug,37th,11775,8
18-Jul,38th,11772,7
20-Aug,39th,11771,8
9-Jul,40th,11769,7
16-Jul,41st,11768,7
25-Jul,41st,11768,7
15-Jul,43rd,11754,7
12-Aug,44th,11749,8
10-Jul,45th,11738,7
27-Aug,46th,11737,8
9-Aug,47th,11721,8
1-Oct,48th,11720,10
17-Jul,49th,11718,7
23-Jul,50th,11699,7
14-Aug,51st,11692,8
22-Jul,52nd,11686,7
18-Aug,53rd,11681,8
21-Dec,54th,11680,12
14-Jul,54th,11680,7
18-Dec,56th,11675,12
3-Oct,57th,11674,10
27-Dec,58th,11665,12
21-Jul,59th,11664,7
23-Aug,60th,11655,8
21-Aug,61st,11643,8
19-Aug,62nd,11637,8
14-Feb,63rd,11636,2
26-Aug,64th,11620,8
28-Jul,65th,11614,7
5-Aug,66th,11610,8
11-Aug,67th,11608,8
24-Jul,68th,11607,7
30-Jul,69th,11599,7
29-Jul,70th,11593,7
27-Jun,71st,11590,6
7-Aug,72nd,11589,8
6-Aug,73rd,11586,8
26-Jul,74th,11581,7
2-Aug,75th,11580,8
25-Aug,76th,11576,8
2-Oct,77th,11572,10
29-Sep,77th,11572,9
4-Aug,79th,11569,8
21-Nov,80th,11567,11
12-Jul,81st,11565,7
28-Jun,82nd,11557,6
10-Oct,83rd,11556,10
31-Aug,84th,11555,8
28-Sep,85th,11554,9
17-Aug,86th,11548,8
30-Jun,87th,11547,6
19-Jul,88th,11545,7
23-May,89th,11525,5
31-Jul,90th,11516,7
11-Sep,91st,11503,9
20-Jun,92nd,11502,6
10-Aug,93rd,11491,8
4-Oct,94th,11490,10
30-Sep,95th,11489,9
6-Jul,96th,11487,7
17-Dec,97th,11481,12
13-Aug,98th,11468,8
24-Aug,99th,11452,8
20-Nov,100th,11442,11
12-Dec,101st,11440,12
5-Sep,102nd,11431,9
20-Jul,103rd,11428,7
27-Jul,104th,11410,7
25-Jun,105th,11406,6
7-Sep,106th,11398,9
22-Dec,107th,11388,12
26-Jun,108th,11374,6
24-May,109th,11367,5
16-Dec,110th,11352,12
29-Jun,111th,11351,6
1-Nov,112th,11350,11
2-Jun,113th,11345,6
18-Jun,114th,11339,6
6-Oct,115th,11335,10
3-Aug,116th,11332,8
24-Jun,117th,11328,6
7-Oct,118th,11324,10
8-Oct,119th,11309,10
7-Nov,120th,11308,11
3-Jul,121st,11304,7
21-Jun,122nd,11298,6
17-Oct,123rd,11296,10
6-Sep,124th,11293,9
22-May,125th,11288,5
14-Jun,125th,11288,6
16-May,127th,11283,5
24-Oct,128th,11276,10
5-Oct,129th,11272,10
11-Oct,130th,11268,10
16-Jun,131st,11265,6
15-Oct,132nd,11261,10
3-Jun,133rd,11256,6
19-Nov,134th,11255,11
21-May,135th,11254,5
17-Jun,136th,11253,6
1-Dec,137th,11251,12
23-Jun,138th,11244,6
14-Nov,139th,11240,11
6-Jun,139th,11240,6
15-Nov,141st,11229,11
10-Jun,142nd,11222,6
4-Jun,143rd,11221,6
4-Apr,144th,11219,4
4-Sep,145th,11216,9
12-Jun,146th,11196,6
20-May,147th,11193,5
5-Nov,148th,11191,11
15-Dec,148th,11191,12
15-Feb,150th,11188,2
25-Oct,151st,11183,10
2-Dec,152nd,11182,12
21-Mar,153rd,11181,3
13-Jul,153rd,11181,7
8-Nov,155th,11180,11
19-Jun,156th,11176,6
18-Nov,157th,11173,11
1-Jun,158th,11164,6
5-Jun,158th,11164,6
11-Jun,160th,11160,6
7-Jun,160th,11160,6
