,Gross,Diff,CapPct,DiffPct,Date,Show,Theater,Avg_Ticket,Top_Ticket,Seats_Sold,Capacity,Performances,Previews
0,652162,42518.9,86.57,1.93,3/8/26,& Juliet,Stephen Sondheim Theatre,91.78,324,7106,1026,8,0
1,878121.4,16460.1,86.94,0.75,3/8/26,Aladdin,New Amsterdam Theatre,73.11,169.5,12011,1727,8,0
2,695210.37,104705.71,91.97,11.3,3/8/26,All Out: Comedy About Ambition,Nederlander Theatre,79.33,349,8763,1191,8,0
3,727652.87,54312.14,91.85,5.83,3/8/26,The Book of Mormon,Eugene O'Neill Theatre,92.9,269,7833,1066,8,0
4,823768.86,54091.9,96.03,11.29,3/8/26,Buena Vista Social Club,Gerald Schoenfeld Theatre,102.22,297,8059,1049,8,0
5,424743.4,113356.5,96.17,13.32,3/8/26,Bug,Samuel J. Friedman Theatre,86.66,375,4901,637,8,0
6,1160240.29,-6721.71,84.22,0.73,3/8/26,Chess,Imperial Theatre,119.1,427,9742,1446,8,0
7,1442265.73,260988.53,96.93,-0.87,3/8/26,Chicago,Ambassador Theatre,153.07,475,9422,1080,9,0
8,811693.6,56933.7,77.05,4.42,3/8/26,Death Becomes Her,Lunt-Fontanne Theatre,88.31,275,9191,1491,8,0
9,329821,0,100,0,3/8/26,Death of a Salesman,Winter Garden Theatre,112.11,227,2942,1471,0,2
10,1155640.3,174825.7,95.93,-1.59,3/8/26,Every Brilliant Thing,Hudson Theatre,135.75,349,8513,986,0,9
11,1166386.86,492810.56,91.02,14.08,3/8/26,The Great Gatsby,Broadway Theatre,107.87,424,10813,1485,8,0
12,876405.8,-427126.19,100.89,-0.32,3/8/26,Hadestown,Walter Kerr Theatre,118.29,0,7409,918,8,0
13,1795742,39298,100.15,0.6,3/8/26,Hamilton,Richard Rodgers Theatre,169.28,550,10608,1324,8,0
14,2453970,294572,99.99,0.1,3/8/26,Harry Potter and the Cursed Child,Lyric Theatre,189.13,384,12975,1622,8,0
15,1597793.5,112942,102.45,0.71,3/8/26,Just in Time,Circle in the Square Theatre,282.55,974.5,5655,690,8,0
16,1328698.7,2663,94.5,3.07,3/8/26,The Lion King,Minskoff Theatre,103.63,239,12822,1696,8,0
17,918449.51,100596.4,92.99,10.58,3/8/26,Maybe Happy Ending,Belasco Theatre,126.89,475,7238,973,8,0
18,1056027.5,65177,87.02,3.03,3/8/26,MJ The Musical,Neil Simon Theatre,109.36,329,9656,1387,8,0
19,932842.47,60140.29,92.35,2.5,3/8/26,Moulin Rouge! The Musical,Al Hirschfeld Theatre,97.13,0,9604,1300,8,0
20,712062.06,30887.89,93.83,11.13,3/8/26,"Oh, Mary!",Lyceum Theatre,105.99,375,6718,895,8,0
21,665336.95,1643.8,90.21,0.76,3/8/26,Operation Mincemeat,John Golden Theatre,116.71,475,5701,790,8,0
22,988919.85,117398.3,94.3,1.09,3/8/26,The Outsiders,Bernard B. Jacobs Theatre,128.02,497,7725,1024,8,0
23,1036926,49998,99.56,1.58,3/8/26,Ragtime,Vivian Beaumont Theater,123.63,329,8387,1053,8,0
24,503270.54,62421.33,68.04,0.66,3/8/26,SIX: The Musical,Lena Horne Theatre,89.68,269,5612,1031,8,0
25,1027728.8,-253302.59,87.12,-2.82,3/8/26,Stranger Things: The First Shadow,Marquis Theatre,105.72,299,9721,1594,7,0
26,548915.19,30036.59,73.1,3.94,3/8/26,Two Strangers (Carry a Cake Across New York),Longacre Theatre,89.65,275,6123,1047,8,0
27,1413078,105836,95.03,-1.17,3/8/26,Wicked,Gershwin Theatre,102.86,277,13738,1807,8,0
0,609643.1,-53164.2,84.64,-10.22,3/1/26,& Juliet,Stephen Sondheim Theatre,87.76,324,6947,1026,8,0
1,861661.3,-331924.3,86.19,-10.56,3/1/26,Aladdin,New Amsterdam Theatre,72.36,199.5,11908,1727,8,0
2,590504.66,-31687.91,80.67,-8.09,3/1/26,All Out: Comedy About Ambition,Nederlander Theatre,76.83,349,7686,1191,8,0
3,673340.73,-80579.46,86.02,-10.68,3/1/26,The Book of Mormon,Eugene O'Neill Theatre,91.79,249,7336,1066,8,0
4,769676.96,-51229.42,84.74,-10.83,3/1/26,Buena Vista Social Club,Gerald Schoenfeld Theatre,108.24,297,7111,1049,8,0
5,311386.9,-148237.1,82.85,3.3,3/1/26,Bug,Samuel J. Friedman Theatre,73.75,375,4222,637,8,0
6,1166962,381594.98,83.49,3.91,3/1/26,Chess,Imperial Theatre,120.83,427,9658,1446,8,0
7,1181277.2,-59705.63,97.8,-2.82,3/1/26,Chicago,Ambassador Theatre,159.76,475,7394,1080,7,0
8,754759.9,-229598.8,72.63,-15.14,3/1/26,Death Becomes Her,Lunt-Fontanne Theatre,87.12,299,8663,1491,8,0
9,980814.6,676387.85,97.52,-2.48,3/1/26,Every Brilliant Thing,Hudson Theatre,145.72,349,6731,986,0,7
10,673576.3,-473715.38,76.94,-16.89,3/1/26,The Great Gatsby,Broadway Theatre,84.22,304,7998,1485,7,0
11,1303531.99,160566.19,101.21,-0.17,3/1/26,Hadestown,Walter Kerr Theatre,175.37,0,7433,918,8,0
12,1756444,-383238,99.55,-1.21,3/1/26,Hamilton,Richard Rodgers Theatre,166.58,550,10544,1324,8,0
13,2159398,-411507.92,99.89,0.39,3/1/26,Harry Potter and the Cursed Child,Lyric Theatre,190.39,320,11342,1622,7,0
14,1484851.5,-23208.1,101.74,-1.47,3/1/26,Just in Time,Circle in the Square Theatre,264.4,974.5,5616,690,8,0
15,1326035.7,-597646.1,91.43,-6.03,3/1/26,The Lion King,Minskoff Theatre,106.9,239,12405,1696,8,0
16,817853.11,-196297.96,82.41,-13.66,3/1/26,Maybe Happy Ending,Belasco Theatre,127.49,475,6415,973,8,0
17,990850.5,-295274.29,83.99,-9.62,3/1/26,MJ The Musical,Neil Simon Theatre,106.33,309,9319,1387,8,0
