State,dw_code,party_x,party_y,Metro Area,County (may overlap with multiple counties),benchmark_60.60_85k_eptc,benchmark_40_32k_eptc,benchmark_60.60_85k_no_eptc,benchmark_40_32k_no_eptc,last_name,first_name,birthday,gender,fullname,BACH_PLUS_pct,FOREIGN_BORN_pct,stdis_y,Congressional District,Total population,Median Household Income,Male,Female,Sex ratio (males per 100 females),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),One race,Two or More Races,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Not Hispanic or Latino,Not Hispanic or Latino - White alone,Not Hispanic or Latino - Black or African American alone,Not Hispanic or Latino - American Indian and Alaska Native alone,Not Hispanic or Latino - Asian alone,Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino - Some Other Race alone,Not Hispanic or Latino - Two or More Races,Total housing units,Harris,Trump2024,Total2024,Harris5,Trump%,Margin,Biden,Trump2020,Total2020,Biden%,Trump2020%,Margin2020,PctBachelors+,STATEFP,district,GEOID
Alabama,AL01,R,Republican,"Mobile, AL",Mobile County,602.08,58.13,2597.54,180.26,Moore,Barry,9/26/66,M,Barry Moore,0.2414,0.0379,AL01,Alabama 01,724287,61488,350338,373949,93.7,42423,43487,48618,45897,42155,91199,89022,87630,46299,52109,81869,40907,12672,40.5,691710,32577,473484,190966,4883,11091,310,28290,695997,466103,190120,4238,10976,284,2194,22082,348243,73003,257060,332700,21.94%,77.26%,-55.32%,"79,112","243,258","325,715",24.29%,74.68%,-50.40%,27.0,1,1,101
Alabama,AL02,D,Democrat,"Montgomery, AL",Montgomery County,602.08,58.13,2687.27,180.26,Figures,Shomari,9/3/85,M,Shomari Figures,0.2527,0.0413,AL02,Alabama 02,717019,59954,346999,370020,93.8,43080,44707,47839,46301,46043,92962,89301,88600,45546,46312,74978,38705,12645,39,683987,33032,436848,221824,1891,12283,199,32407,684612,426305,220480,1352,12204,148,2203,21920,330475,155603,131721,290033,53.65%,45.42%,8.23%,"174,051","135,333","312,225",55.75%,43.34%,12.40%,26.0,1,2,102
Alabama,AL03,R,Republican,"Auburn-Opelika, AL",Lee County,602.08,58.13,2695.67,180.27,Rogers,Mike,7/16/58,M,Mike Rogers,0.225,0.0351,AL03,Alabama 03,721038,58158,351064,369974,94.9,39668,41755,44506,51106,53938,92773,85878,89424,47341,48386,76821,38443,10999,39.3,692394,28644,493356,175840,1606,10316,487,27613,693425,484413,174032,1017,10130,459,2556,20818,337433,82654,229676,314869,26.25%,72.94%,-46.69%,"93,357","225,360","322,031",28.99%,69.98%,-40.99%,24.0,1,3,103
Alabama,AL04,R,Republican,"Florence-Muscle Shoals, AL",Colbert County,602.08,58.13,2707.6,180.26,Aderholt,Robert,7/22/65,M,Robert Aderholt,0.199,0.0435,AL04,Alabama 04,721519,57065,355212,366307,97,42855,42476,50328,46849,43307,85440,86296,92238,48746,48540,80292,42018,12134,40.9,686055,35464,597371,51713,5429,4006,616,55728,665791,584896,51275,2450,3987,212,1694,21277,327487,53098,267953,323449,16.42%,82.84%,-66.43%,"60,121","262,473","325,713",18.46%,80.58%,-62.13%,19.1,1,4,104
Alabama,AL05,R,Republican,"Huntsville, AL",Madison County,602.08,58.14,2905.88,180.27,Strong,Dale,5/8/70,M,Dale Strong,0.3515,0.0588,AL05,Alabama 05,732520,75486,361264,371256,97.3,41164,43418,46404,47141,46508,97410,93197,92182,50851,51767,72491,37805,12182,39.7,688836,43684,522614,130130,4654,13411,450,49258,683262,509548,127919,2539,13172,306,1955,27823,320533,122344,224704,351650,34.79%,63.90%,-29.11%,"122,867","216,418","344,866",35.63%,62.75%,-27.13%,37.5,1,5,105
Alabama,AL06,R,Republican,"Birmingham, AL",Shelby County,602.08,58.14,2806.14,180.27,Palmer,Gary,5/14/54,M,Gary Palmer,0.3779,0.0463,AL06,Alabama 06,714716,79908,347654,367062,94.7,43061,46281,49322,45679,39608,93606,96451,91365,45818,45833,70892,34978,11822,39.2,683190,31526,506926,143883,2564,12132,392,45845,668871,491805,143240,771,12055,220,3149,17631,303122,105388,239984,349125,30.19%,68.74%,-38.55%,"107,324","241,583","353,116",30.39%,68.41%,-38.02%,41.2,1,6,106
Alabama,AL07,D,Democrat,"Tuscaloosa, AL",Tuscaloosa County,602.08,58.14,2734.76,180.27,Sewell,Terri,1/1/65,F,Terri Sewell,0.2562,0.0357,AL07,Alabama 07,723154,48204,340888,382266,89.2,42166,42484,43910,58878,62589,97947,84352,79601,42495,47175,74792,33275,13490,36.6,700031,23123,272771,404151,1464,8730,110,32499,690655,262582,403190,607,8496,98,1782,13900,348899,180321,111517,294526,61.22%,37.86%,23.36%,"212,792","116,745","332,305",64.04%,35.13%,28.90%,26.6,1,7,107
Alaska,AK00,R,Republican,"Anchorage, AK",Anchorage Borough,463.25,14.67,705.5,129.34,Begich,Nicholas,10/21/77,M,Nicholas Begich,0.3075,0.0976,AK00,Alaska 00,733971,89336,385319,348652,110.5,47825,51775,49878,46494,50096,114236,101517,84268,44192,45875,65956,25349,6510,35.6,644167,89804,445545,22774,101226,47099,11379,52473,681498,428104,21801,99068,46476,11163,4499,70387,327610,140026,184458,338177,41.41%,54.54%,-13.14%,"153,778","189,951","357,569",43.01%,53.12%,-10.12%,30.6,2,0,200
Arizona,AZ01,R,Republican,"Phoenix-Mesa-Chandler, AZ",Maricopa County,602.08,58.13,2049.14,180.27,Schweikert,David,3/3/62,M,David Schweikert,0.5061,0.1387,AZ01,Arizona 01,800544,95281,394586,405958,97.2,37672,39725,38249,40492,42858,116295,99170,101295,59249,58239,94510,51650,21140,43.4,712325,88219,597464,29349,13949,35502,1712,134260,666284,556367,27968,10934,35231,1466,3689,30629,401329,216232,230237,450734,47.97%,51.08%,-3.11%,"231,887","225,013","462,784",50.11%,48.62%,1.49%,52.6,4,1,401
Arizona,AZ02,R,Republican,"Phoenix-Mesa-Chandler, AZ",Pinal County,602.08,58.13,3106.95,180.27,Crane,Eli,1/3/80,M,Eli Crane,0.2505,0.0653,AZ02,Arizona 02,811584,64884,408036,403548,101.1,40469,46269,50481,55056,51700,96852,91109,85701,48836,60198,113285,56512,15116,42.1,727614,83970,489789,19781,162975,10040,1714,144322,667262,447238,19036,155944,9454,1622,2956,31012,384941,174969,237306,416477,42.01%,56.98%,-14.97%,"183,714","215,659","405,633",45.29%,53.17%,-7.88%,25.6,4,2,402
Arizona,AZ03,D,Democrat,"Phoenix-Mesa-Chandler, AZ",Maricopa County,602.08,58.13,2049.14,180.27,Ansari,Yassamin,4/7/92,F,Yassamin Ansari,0.1802,0.2651,AZ03,Arizona 03,803591,64537,406197,397394,102.2,55018,57414,67567,68803,66199,137467,113196,94633,41776,34282,43963,17559,5714,31.1,570934,232657,305691,84922,22953,18198,1898,507988,295603,158544,80816,13731,17204,1652,2140,21516,278667,147522,62762,213222,69.19%,29.44%,39.75%,"170,840","54,754","229,285",74.51%,23.88%,50.63%,20.0,4,3,403
Arizona,AZ04,D,Democrat,"Phoenix-Mesa-Chandler, AZ",Maricopa County,602.08,58.13,2049.14,180.27,Stanton,Greg,3/8/70,M,Greg Stanton,0.3721,0.1447,AZ04,Arizona 04,803744,79335,406239,397505,102.2,44797,43854,47055,52090,69708,144325,102477,90466,43772,45815,68457,37186,13742,35,687922,115822,521057,45634,19092,44355,2629,210402,593342,451133,43238,14399,43154,2384,3909,35125,356459,182893,159723,347506,52.63%,45.96%,6.67%,"201,238","162,975","371,497",54.17%,43.87%,10.30%,38.4,4,4,404
Arizona,AZ05,R,Republican,"Phoenix-Mesa-Chandler, AZ",Maricopa County,602.08,58.13,2059.23,180.27,Biggs,Andy,11/7/58,M,Andy Biggs,0.3969,0.1119,AZ05,Arizona 05,812986,105750,402439,410547,98,45505,58995,63553,59117,43783,91644,116001,109085,49414,43344,76842,42758,12945,38.8,717635,95351,596714,28595,9447,47291,858,145467,667519,544704,27746,6671,46225,805,3021,38347,316173,175673,264571,445025,39.47%,59.45%,-19.98%,"171,278","239,646","417,419",41.03%,57.41%,-16.38%,40.4,4,5,405
Arizona,AZ06,R,Republican,"Tucson, AZ",Pima County,602.08,58.13,2129.01,180.26,Ciscomani,Juan,8/30/82,M,Juan Ciscomani,0.38,0.1034,AZ06,Arizona 06,798431,75244,400565,397866,100.7,37786,42256,44019,42191,51267,95397,90506,86381,47095,55228,114649,68261,23395,44.5,685674,112757,573581,29339,10372,23706,2194,199499,598932,500372,27558,6290,23174,1849,3029,36660,380676,216024,219323,440175,49.08%,49.83%,-0.75%,"214,896","214,580","436,079",49.28%,49.21%,0.07%,40.2,4,6,406
Arizona,AZ07,D,Democrat,"Yuma, AZ",Yuma County,602.08,58.13,2275.42,180.26,,,,,,0.2091,0.2094,AZ07,Arizona 07,804461,58120,402720,401741,100.2,48195,53668,54296,65743,73622,117902,99203,88064,42919,44095,69433,36212,11109,34,584318,220143,384177,30182,32822,15256,775,483146,321315,234065,27037,21909,14442,716,2576,20570,316813,170352,108028,281685,60.48%,38.35%,22.13%,"194,860","97,580","296,840",65.64%,32.87%,32.77%,22.5,4,7,407
Arizona,AZ08,R,Republican,"Phoenix-Mesa-Chandler, AZ",Maricopa County,602.08,58.13,2049.14,180.27,Hamadeh,Abraham,5/15/91,M,Abraham Hamadeh,0.3148,0.1273,AZ08,Arizona 08,796518,79643,387989,408529,95,41073,44399,48363,47135,42622,95782,97093,95877,50279,51396,99266,61087,22146,43,692427,104091,562869,33052,12021,38408,898,170985,625533,509200,31229,7471,37622,837,3066,36108,344648,162183,226186,392023,41.37%,57.70%,-16.33%,"171,266","225,761","402,630",42.54%,56.07%,-13.53%,31.5,4,8,408
