Caffeine_Intake_mg,Stress_Level
66.8,4.71
146.3,5.28
152.6,5.18
115.8,4.67
167.1,4.4
212.3,4.71
330.9,4.8
194.0,4.92
200.6,5.52
174.0,6.65
26.5,5.2
177.9,5.79
184.8,5.37
377.1,6.64
164.6,5.64
204.1,5.7
177.2,5.09
86.5,4.54
271.4,5.38
240.2,5.84
243.3,5.58
107.2,4.03
292.2,5.54
67.9,4.65
226.9,5.12
355.2,5.84
100.8,5.43
134.7,4.19
188.0,4.95
139.7,5.4
55.9,4.68
185.5,4.23
95.0,4.86
217.9,5.26
106.4,5.53
304.0,6.15
117.3,3.76
154.2,5.98
245.1,5.44
81.5,5.13
198.2,4.29
284.6,5.07
51.4,5.05
194.8,5.61
200.8,5.15
242.5,5.3
81.0,4.79
74.4,3.95
221.8,5.8
203.8,6.1
200.0,4.25
207.7,5.7
125.6,6.28
198.6,5.26
203.4,3.79
122.9,4.2
329.3,6.33
217.9,4.87
84.7,4.87
232.5,5.02
102.0,4.61
243.0,5.19
272.7,4.1
114.3,4.93
257.1,4.64
213.0,3.79
245.8,5.98
331.7,4.11
160.4,4.57
119.7,5.25
108.8,5.4
114.7,3.41
173.8,5.59
207.3,4.31
202.1,5.75
246.2,4.97
181.0,5.06
296.3,5.08
158.8,4.95
397.6,6.2
230.1,5.26
111.4,5.02
94.3,4.91
218.6,4.71
162.1,6.42
237.1,4.38
217.9,4.56
174.2,5.12
112.3,5.26
58.8,4.2
144.3,4.78
248.5,4.43
197.1,5.08
80.3,5.38
193.9,5.39
210.8,5.42
109.3,5.17
192.3,5.05
184.7,5.41
88.6,5.24
