"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",148256,150913,12958,2898,2919371,3373864.285714286,
"2019-01-02 00:00:00",344824,423823,0,2013,962946,3063779.4285714286,
"2019-01-03 00:00:00",429992,324767,3891,0,3180381,3123969.714285714,
"2019-01-04 00:00:00",400893,249042,22708,8512,857947,2758511,
"2019-01-05 00:00:00",375159,799110,5393,0,1594983,2741497.1428571427,
"2019-01-06 00:00:00",151038,325426,5862,3432,2187656,2750187.1428571427,
"2019-01-07 00:00:00",353733,174460,12938,2281,2160933,2656936.285714286,
"2019-01-08 00:00:00",308184,382677,32806,0,640019,2389691.8571428573,
"2019-01-09 00:00:00",258749,362366,11944,0,1919488,2506683.4285714286,
"2019-01-10 00:00:00",301640,439933,25189,14983,417519,2115288.4285714286,
"2019-01-11 00:00:00",384570,268700,2152,14924,962916,2128739.8571428573,
"2019-01-12 00:00:00",242991,141530,49018,0,831713,1913112.2857142857,
"2019-01-13 00:00:00",318089,320470,2152,0,2106055,1923591.2857142857,
"2019-01-14 00:00:00",293647,165830,8222,4518,1939968,1881854,
"2019-01-15 00:00:00",584020,102796,23098,14580,969215,1929000.4285714286,
"2019-01-16 00:00:00",327679,507043,26096,0,2576373,2055378.142857143,
"2019-01-17 00:00:00",264366,373163,3518,0,2027189,2265231,
"2019-01-18 00:00:00",339161,285720,1156,0,2197074,2435209.285714286,
"2019-01-19 00:00:00",259176,149061,15137,3322,1292026,2499990.5714285714,
"2019-01-20 00:00:00",336614,628132,35572,3476,1437583,2456363.4285714286,
"2019-01-21 00:00:00",212065,254002,60033,10908,325037,2234914.714285714,
"2019-01-22 00:00:00",237130,564697,5567,5838,1478399,2320332.1428571427,
"2019-01-23 00:00:00",195711,121846,0,0,2215859,2191221.1428571427,
"2019-01-24 00:00:00",152037,280009,17519,0,2704992,2260695.5714285714,
"2019-01-25 00:00:00",315802,139446,33594,0,1779225,2181403.714285714,
"2019-01-26 00:00:00",478033,376903,26069,4009,2641480,2439657.1428571427,
"2019-01-27 00:00:00",234772,481695,33566,0,2413819,2542868,
"2019-01-28 00:00:00",453508,585606,23678,9034,1598683,2801220.1428571427,
"2019-01-29 00:00:00",425234,389621,11055,0,2894444,3005323.285714286,
"2019-01-30 00:00:00",180999,293265,10040,292,774136,2823225.5714285714,
"2019-01-31 00:00:00",298036,266574,21872,2013,2146040,2763222.714285714,
"2019-02-01 00:00:00",261638,191974,13991,0,2046802,2798413.714285714,
"2019-02-02 00:00:00",443561,33758,16182,6075,1624503,2598068.5714285714,
