,fips,state,county,POP_ESTIMATE_2018,Unemployment_rate_2018,Median_Household_Income_2018,PCTPOVALL_2018,log_pop,BAC_PCT,WAC_PCT,pctdem2020,pctrep2020,Rural,UrbanInfluence
0,1001,AL,Autauga County,55601,3.6,59338,13.8,4.75,21.09219782,77.97347366,27.01836514,71.4368023,2,2
1,1003,AL,Baldwin County,218022,3.6,57588,9.8,5.34,9.565747153,89.19026672,22.40902999,76.17137282,3,2
2,1005,AL,Barbour County,24881,5.2,34382,30.9,4.4,49.08450134,50.14988252,45.78817266,53.45122647,6,6
3,1007,AL,Bibb County,22400,4.0,46064,21.8,4.35,21.91211932,77.7886934,20.69828035,78.42626368,1,1
4,1009,AL,Blount County,57840,3.5,50412,13.2,4.76,2.20661986,97.13104832,9.56937799,89.57155285,1,1
5,1011,AL,Bullock County,10138,4.7,29267,42.5,4.01,70.99297099,27.77942778,74.70192933,24.84283546,6,6
6,1013,AL,Butler County,19680,4.8,37365,24.5,4.29,45.58309338,53.02858906,41.78962901,57.52529511,6,6
7,1015,AL,Calhoun County,114277,4.7,45400,19.5,5.06,22.43123102,76.95611989,29.84524253,68.84843968,3,2
8,1017,AL,Chambers County,33615,3.9,39917,18.7,4.53,40.9785289,58.19450292,41.64485737,57.26903952,6,5
9,1019,AL,Cherokee County,26032,3.6,42132,16.3,4.42,4.756451367,94.69766377,13.20217868,86.0336558,6,6
10,1021,AL,Chilton County,44153,3.6,47547,17.3,4.64,11.13261907,88.32718106,15.91403418,83.29880891,1,1
11,1023,AL,Choctaw County,12841,5.5,39907,22.1,4.11,42.13996346,57.75677178,41.89442658,57.5562701,9,10
12,1025,AL,Clarke County,23920,7.5,40741,22.8,4.38,45.57192448,53.82694099,43.81423677,55.75942139,7,11
13,1027,AL,Clay County,13275,3.9,39201,17.6,4.12,15.0736683,85.21344919,18.28282828,80.82251082,9,10
14,1029,AL,Cleburne County,14987,4.2,46495,16.0,4.18,3.521126761,96.20389001,9.339975093,89.7191089,8,4
15,1031,AL,Coffee County,51909,3.9,55122,13.8,4.72,18.97138054,78.62519583,22.78787879,75.86531987,4,5
16,1033,AL,Colbert County,54762,4.6,49055,13.8,4.74,17.21728426,82.2342101,29.91823854,68.86251165,3,2
17,1035,AL,Conecuh County,12277,5.2,32613,24.4,4.09,46.81362393,53.02063479,46.04875019,53.438907,7,11
18,1037,AL,Coosa County,10715,4.2,42423,18.9,4.03,31.53896652,68.02963519,32.77970433,66.27121738,8,3
19,1039,AL,Covington County,36986,4.6,40203,19.9,4.57,13.46325137,86.12378202,15.61101549,83.68330465,6,6
20,1041,AL,Crenshaw County,13824,4.1,39057,19.5,4.14,25.2323555,74.19401685,25.69140094,73.50763186,8,6
21,1043,AL,Cullman County,83442,3.3,45796,14.5,4.92,1.894518193,97.08122433,10.6998638,88.12214762,4,3
22,1045,AL,Dale County,48956,4.2,45309,16.2,4.69,22.36842105,76.24257708,26.19313,72.4642821,4,5
23,1047,AL,Dallas County,38310,6.5,34035,31.4,4.58,71.27648134,28.39821486,68.4617107,30.92252575,4,5
24,1049,AL,DeKalb County,71385,3.8,39491,21.3,4.85,2.46109099,94.83870066,14.58304946,84.36776128,6,6
25,1051,AL,Elmore County,81887,3.4,60367,11.2,4.91,22.02465244,77.32147915,25.26687789,73.51693883,2,2
26,1053,AL,Escambia County,36748,4.6,38418,23.6,4.57,32.38064041,64.2262441,30.91137649,68.31552483,6,6
27,1055,AL,Etowah County,102501,4.1,44903,17.5,5.01,16.71686158,82.41874291,24.23524975,74.43848475,3,2
28,1057,AL,Fayette County,16433,4.1,39254,23.5,4.22,12.75917065,87.30217151,15.9137577,83.27629478,6,6
29,1059,AL,Franklin County,31363,3.7,39388,19.2,4.5,5.190995472,93.31356419,16.58451264,82.49324217,6,6
30,1061,AL,Geneva County,26314,3.9,37823,21.3,4.42,10.33839595,89.0297286,12.71422878,86.47269829,3,2
31,1063,AL,Greene County,8233,6.7,28524,30.1,3.92,80.48329429,19.33177167,81.34031414,18.32460733,8,6
32,1065,AL,Hale County,14726,5.1,34724,25.6,4.17,58.35779128,41.32823698,59.16435244,40.26760919,3,2
33,1067,AL,Henry County,17209,4.4,46027,17.9,4.24,26.81197326,73.10084278,28.0275328,71.05829211,3,2
34,1069,AL,Houston County,104722,4.0,47993,16.5,5.02,28.53270622,70.67679114,27.97522362,70.64301648,3,2
35,1071,AL,Jackson County,51736,4.1,41929,19.7,4.71,4.296284818,94.05338395,15.72601117,83.22051108,6,5
36,1073,AL,Jefferson County,659300,3.7,55013,16.1,5.82,44.21711792,54.22010924,55.75851317,42.60974442,1,1
