DBN,School Name,School Code,Borough,Beginning Balance,Total Income,Total Expenses,Ending Balance,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,%NonWhite,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,Total Enrollment,Raised per student
03M087,P.S. 087 William Sherman,M087,M,"$1,223,341.00 ","$2,086,338.00 ","$839,122.00 ","$1,247,216.00 ",70,7.80%,28,3.10%,130,14.50%,86,9.60%,584,65.00%,35.00%,161,17.90%,27,3.00%,88,9.80%,11.20%,898,"$2,323.32 "
28Q196,P.S. 196 Grand Central Parkway,Q196,Q,"$670,309.59 ","$2,275,423.19 ","$1,598,248.33 ","$677,174.86 ",387,37.90%,21,2.10%,114,11.20%,70,6.80%,430,42.10%,57.90%,130,12.70%,66,6.50%,268,26.20%,20.90%,1022,"$2,226.44 "
15K058,P.S. 058 The Carroll,K058,K,"$242,679.00 ","$2,104,019.00 ","$1,940,381.00 ","$163,638.00 ",34,3.40%,21,2.10%,107,10.60%,97,9.60%,750,74.30%,25.70%,123,12.20%,45,4.50%,120,11.90%,11.30%,1009,"$2,085.25 "
03M334,The Anderson School,M334,M,"$1,825,898.20 ","$1,030,522.95 ","$727,172.71 ","$2,129,248.44 ",152,29.10%,13,2.50%,47,9.00%,59,11.30%,251,48.10%,51.90%,42,8.00%,1,0.20%,78,14.90%,13.90%,522,"$1,974.18 "
02M158,P.S. 158 Bayard Taylor,M158,M,$0.00 ,"$1,466,193.00 ","$1,429,344.00 ","$36,849.00 ",103,12.90%,16,2.00%,64,8.00%,52,6.50%,561,70.50%,29.50%,117,14.70%,43,5.40%,93,11.70%,10.80%,796,"$1,841.95 "
15K029,P.S. 029 John M. Harrigan,K029,K,"$604,229.00 ","$1,733,654.00 ","$1,657,418.00 ","$680,465.00 ",47,4.90%,25,2.60%,107,11.30%,65,6.80%,706,74.30%,25.70%,120,12.60%,29,3.10%,127,13.40%,11.70%,950,"$1,824.90 "
13K008,P.S. 008 Robert Fulton,K008,K,"$486,806.44 ","$1,567,065.44 ","$1,055,763.00 ","$511,302.40 ",58,6.40%,124,13.80%,115,12.80%,76,8.40%,528,58.60%,41.40%,101,11.20%,26,2.90%,176,19.50%,18.00%,901,"$1,739.25 "
02M077,P.S. 77 Lower Lab School,M077,M,"$491,073.00 ","$589,848.00 ","$531,821.00 ","$549,099.00 ",118,32.80%,1,0.30%,17,4.70%,42,11.70%,182,50.60%,49.40%,32,8.90%,0,0.00%,39,10.80%,9.10%,360,"$1,638.47 "
03M054,J.H.S. 054 Booker T. Washington,M054,M,"$818,222.56 ","$1,420,260.77 ","$521,844.03 ","$898,416.74 ",100,11.50%,69,8.00%,135,15.60%,76,8.80%,487,56.20%,43.80%,119,13.70%,10,1.20%,168,19.40%,22.50%,867,"$1,638.13 "
03M245,M.S. M245 The Computer School,M245,M,"$412,311.00 ","$622,414.00 ","$94,518.00 ","$527,896.00 ",31,7.70%,51,12.70%,116,28.80%,25,6.20%,180,44.70%,55.30%,84,20.80%,7,1.70%,115,28.50%,31.00%,403,"$1,544.45 "
02M041,P.S. 041 Greenwich Village,M041,M,"$627,391.00 ","$1,023,319.00 ","$975,740.00 ","$673,784.68 ",51,7.30%,10,1.40%,63,9.10%,90,13.00%,480,69.20%,30.80%,112,16.10%,11,1.60%,49,7.10%,7.60%,694,"$1,474.52 "
02M130,P.S. 130 Hernando De Soto,M130,M,"$941,845.00 ","$1,230,293.00 ","$358,525.00 ","$871,768.00 ",749,87.30%,7,0.80%,48,5.60%,30,3.50%,24,2.80%,97.20%,139,16.20%,137,16.00%,385,44.90%,54.50%,858,"$1,433.91 "
02M059,P.S. 059 Beekman Hill International,M059,M,"$580,951.59 ","$851,102.86 ","$864,103.82 ","$567,950.18 ",119,19.90%,8,1.30%,63,10.50%,61,10.20%,347,58.00%,42.00%,83,13.90%,28,4.70%,68,11.40%,7.80%,598,"$1,423.25 "
02M006,P.S. 006 Lillie D. Blake,M006,M,"$1,220,153.00 ","$936,143.84 ","$1,068,005.26 ","$1,033,236.92 ",115,17.10%,16,2.40%,41,6.10%,11,1.60%,488,72.70%,27.30%,103,15.40%,22,3.30%,82,12.20%,10.20%,671,"$1,395.15 "
10X696,High School of American Studies at Lehman College,X696,X,"$345,663.12 ","$565,302.87 ","$111,110.24 ","$454,192.63 ",89,21.70%,16,3.90%,40,9.70%,33,8.00%,233,56.70%,43.30%,11,2.70%,0,0.00%,98,23.80%,24.70%,411,"$1,375.43 "
13K492,Academy of Arts and Letters,K492,K,"$136,048.00 ","$679,998.00 ","$546,450.00 ","$133,548.00 ",31,5.90%,158,29.90%,81,15.30%,50,9.50%,208,39.40%,60.60%,110,20.80%,3,0.60%,118,22.30%,29.50%,528,"$1,287.88 "
03M009,P.S. 009 Sarah Anderson,M009,M,$0.00 ,"$783,805.00 ","$821,096.00 ","$37,291.00 ",52,8.50%,29,4.70%,111,18.20%,57,9.30%,362,59.20%,40.80%,111,18.20%,14,2.30%,135,22.10%,18.00%,611,"$1,282.82 "
03M243,M.S. 243 Center School,M243,M,"$82,862.28 ","$289,862.79 ","$178,441.93 ","$111,420.86 ",12,5.00%,25,10.40%,44,18.30%,23,9.50%,137,56.80%,43.20%,42,17.40%,0,0.00%,33,13.70%,20.60%,241,"$1,202.75 "
02M281,The River School,M281,M,"$154,783.11 ","$398,871.55 ","$182,349.11 ","$216,522.44 ",110,32.50%,31,9.20%,42,12.40%,16,4.70%,139,41.10%,58.90%,53,15.70%,59,17.50%,102,30.20%,19.30%,338,"$1,180.09 "
13K011,P.S. 011 Purvis J. Behan,K011,K,"$17,196,623.00 ","$1,046,661.40 ","$865,775.97 ","$180,885.43 ",22,2.50%,546,61.10%,122,13.60%,80,8.90%,124,13.90%,86.10%,92,10.30%,12,1.30%,351,39.30%,43.90%,894,"$1,170.76 "
02M290,P.S. 290 Manhattan New School,M290,M,"$930,581.76 ","$683,811.55 ","$778,843.80 ","$835,549.51 ",65,10.90%,17,2.90%,56,9.40%,36,6.10%,421,70.80%,29.20%,85,14.30%,13,2.20%,79,13.30%,8.80%,595,"$1,149.26 "
03M452,P.S. 452,M452,M,"$438,791.00 ","$427,044.00 ","$486,809.00 ","$364,542.00 ",49,13.00%,48,12.80%,60,16.00%,11,2.90%,208,55.30%,44.70%,67,17.80%,17,4.50%,115,30.60%,28.40%,376,"$1,135.76 "
02M150,P.S. 150,M150,M,"$377,010.00 ","$204,576.00 ","$255,827.00 ","$325,759.00 ",39,20.60%,1,0.50%,18,9.50%,17,9.00%,114,60.30%,39.70%,21,11.10%,4,2.10%,33,17.50%,13.60%,189,"$1,082.41 "
28Q101,P.S. 101 School in the Gardens,Q101,Q,"$210,553.70 ","$717,032.95 ","$515,426.00 ","$201,606.95 ",199,29.60%,20,3.00%,119,17.70%,56,8.30%,278,41.40%,58.60%,96,14.30%,27,4.00%,97,14.40%,13.40%,672,"$1,067.01 "
02M234,P.S. 234 Independence School,M234,M,"$375,489.73 ","$660,795.01 ","$647,614.29 ","$388,670.45 ",56,8.80%,11,1.70%,56,8.80%,55,8.60%,460,72.10%,27.90%,103,16.10%,8,1.30%,66,10.30%,8.40%,638,"$1,035.73 "
02M183,P.S. 183 Robert L. Stevenson,M183,M,"$227,436.00 ","$558,046.28 ","$551,132.32 ","$6,906.96 ",88,15.90%,15,2.70%,47,8.50%,33,6.00%,371,67.00%,33.00%,88,15.90%,34,6.10%,66,11.90%,6.30%,554,"$1,007.30 "
15K010,"Magnet School of Math, Science and Design Technology",K010,K,"$568,903.65 ","$943,960.31 ","$962,541.67 ","$550,322.29 ",83,8.70%,81,8.50%,257,27.00%,57,6.00%,473,49.70%,50.30%,186,19.60%,44,4.60%,203,21.30%,29.90%,951,$992.60 
