state,district,last_name,first_name,longitude,latitude,party,num_grants,total_grants_millions
CA,4,Thompson,Mike,-122.32535309356926,38.718824709112056,Democrat,2.0,17.0
DE,0,McBride,Sarah,-75.49952675965531,38.989804098818276,Democrat,3.0,15.0
WA,2,Larsen,Rick,-121.85618349762895,48.61771206693778,Democrat,3.0,48.0
IL,16,LaHood,Darin,-89.31844376960231,41.39869694023389,Republican,1.0,3.0
SC,4,Timmons,William,-82.18697950872522,34.93070407882185,Republican,1.0,2.0
CA,24,Carbajal,Salud,-120.07987471089356,34.88284209763043,Democrat,1.0,1.0
IL,3,Ramirez,Delia,-88.06203936727594,41.92495929549712,Democrat,14.0,365.0
CA,11,Pelosi,Nancy,-122.44090954619014,37.761385964716695,Democrat,1.0,2.0
CA,42,Garcia,Robert,-118.33851676629261,33.4546841512156,Democrat,1.0,10.0
MN,8,Stauber,Pete,-93.41920481605067,47.3958175143673,Republican,1.0,50.0
NH,1,Pappas,Chris,-71.19409048222403,43.40830439946329,Democrat,1.0,5.0
NM,2,Vasquez,Gabe,-107.00447598875456,33.1995211055289,Democrat,4.0,56.0
OR,1,Bonamici,Suzanne,-123.43146736674669,45.717665712280386,Democrat,11.0,74.0
VT,0,Balint,Becca,-72.6675349790522,44.06944387506188,Democrat,2.0,3.0
OR,2,Bentz,Cliff,-119.73577426998457,43.773491187889604,Republican,5.0,294.0MN,7,Fischbach,Michelle,-95.67813405961766,46.20484689529475,Republican,1.0,20.0
IL,5,Quigley,Mike,-87.9845477961945,42.0828887865612,Democrat,1.0,3.0
CA,25,Ruiz,Raul,-115.33196582599602,33.65508976048851,Democrat,1.0,18.0
CA,28,Chu,Judy,-117.85272152265034,34.27230206207651,Democrat,5.0,53.0
CO,7,Pettersen,Brittany,-105.62910179666092,38.86133604842158,Democrat,13.0,74.0
CT,2,Courtney,Joe,-72.21105156632137,41.660825859548716,Democrat,3.0,8.0
MD,5,Hoyer,Steny,-76.75493079741973,38.56292528207617,Democrat,1.0,2.0
WA,3,Gluesenkamp Perez,Marie,-122.55217123184543,46.31919965204937,Democrat,1.0,46.0
WA,5,Baumgartner,Michael,-118.01258028399444,47.43473209448041,Republican,4.0,8.0
MD,1,Harris,Andy,-75.90331632594987,38.80630211894108,Republican,1.0,4.0
NY,23,Langworthy,Nicholas,-78.11883024687234,42.299242365577726,Republican,2.0,27.0
MA,8,Lynch,Stephen,-71.04922662620997,42.16178209061391,Democrat,2.0,9.0
IL,17,Sorensen,Eric,-90.02740729010905,41.26095359129705,Democrat,1.0,2.0
OR,4,Hoyle,Valerie,-123.44699513027659,43.6434939388892,Democrat,1.0,2.0
NY,19,Riley,Josh,-74.91055331118018,42.25520830335805,Democrat,5.0,10.0
