Rank,Name,Salary
1,Stephen Curry,51915615
2,Kevin Durant,47649433
3,Nikola Jokic,47607350
3,LeBron James,47607350
3,Joel Embiid,47607350
6,Bradley Beal,46741590
7,Paul George,45640084
7,Kawhi Leonard,45640084
7,Giannis Antetokounmpo,45640084
7,Damian Lillard,45640084
11,Jimmy Butler,45183960
12,Klay Thompson,43219440
13,Rudy Gobert,41000000
14,Fred VanVleet,40806300
15,Anthony Davis,40600080
16,Trae Young,40064220
16,Zach LaVine,40064220
16,Luka Doncic,40064220
19,Tobias Harris,39270150
20,Ben Simmons,37893408
20,Pascal Siakam,37893408
22,Kyrie Irving,37037037
23,Jrue Holiday,36861707
24,Karl-Anthony Towns,36016200
24,Devin Booker,36016200
24,Kristaps Porzingis,36016200
27,CJ McCollum,35802469
28,James Harden,35640000
29,Darius Garland,34005250
29,Ja Morant,34005250
29,Zion Williamson,34005250
32,Jamal Murray,33833400
32,Brandon Ingram,33833400
34,Michael Porter,33386850
34,Shai Gilgeous-Alexander,33386850
36,Donovan Mitchell,33162030
37,Jayson Tatum,32600060
37,Bam Adebayo,32600060
37,De'Aaron Fox,32600060
40,Deandre Ayton,32459438
41,Jaylen Brown,31830357
42,Gordon Hayward,31500000
43,Chris Paul,30800000
44,Domantas Sabonis,30600000
45,Kyle Lowry,29682540
46,Khris Middleton,29320988
47,DeMar DeRozan,28600000
48,Julius Randle,28226880
49,Jordan Poole,27955357
50,Jerami Grant,27586207
51,Jaren Jackson Jr,27102202
52,Tyler Herro,27000000
53,Jalen Brunson,26346666
54,Cameron Johnson,25679348
55,Kyle Kuzma,25568182
56,John Collins,25340000
57,Brook Lopez,25000000
58,Mike Conley,24360000
59,Andrew Wiggins,24330357
60,Anfernee Simons,24107143
61,RJ Barrett,23883929
62,Jordan Clarkson,23487629
63,Terry Rozier,23205221
64,Dillon Brooks,22627671
65,Malcolm Brogdon,22500000
66,Draymond Green,22321429
67,Aaron Gordon,22266182
68,Bruce Brown,22000000
69,Mikal Bridges,21700000
70,Myles Turner,20975000
71,Clint Capela,20616000
72,Lonzo Ball,20465117
73,Spencer Dinwiddie,20357143
74,De'Andre Hunter,20089286
75,Jarrett Allen,20000000
75,Jakob Poeltl,20000000
75,Bojan Bogdanovic,20000000
75,Keldon Johnson,20000000
79,Joe Harris,19928571
80,Buddy Hield,19279841
81,Evan Fournier,18857143
82,Bogdan Bogdanovic,18700000
83,OG Anunoby,18642857
84,Marcus Smart,18583713
85,Gary Trent Jr,18560000
86,Nikola Vucevic,18518519
87,Derrick White,18357143
88,Dejounte Murray,18214000
89,Duncan Robinson,18154000
90,Norman Powell,18000000
91,Tim Hardaway Jr,17897728
92,Jonathan Isaac,17400000
93,Collin Sexton,17325000
94,D'Angelo Russell,17307693
95,Lauri Markkanen,17259999
96,Marcus Morris,17116279
97,Harrison Barnes,17000000
97,Davis Bertans,17000000
97,Markelle Fultz,17000000
100,Jusuf Nurkic,16875000
101,PJ Washington,16847826
102,Kevin Porter,15860000
103,Rui Hachimura,15740741
104,Mitchell Robinson,15681818
105,Kevin Huerter,15669643
106,Jonas Valanciunas,15435000
107,Caris LeVert,15384616
108,Luguentz Dort,15277778
109,Luke Kennard,14763636
110,Kentavious Caldwell-Pope,14704938
111,Max Strus,14487684
112,Tyus Jones,14000000
113,Dorian Finney-Smith,13932008
114,Doug McDermott,13750000
115,Anthony Edwards,13534817
116,Wendell Carter,13050000
117,Gary Harris,13000000
118,Josh Hart,12960000
119,Naz Reid,12950400
120,Steven Adams,12600000
121,Marvin Bagley,12500000
121,Brandon Clarke,12500000
123,Grant Williams,12405000
123,Dennis Schroeder,12405000
125,Daniel Gafford,12402000
126,Kelly Olynyk,12195122
127,Victor Wembanyama,12160632
128,James Wiseman,12119440
129,Devonte Graham,12100000
130,Richaun Holmes,12046020
131,Austin Reaves,12015150
131,Herb Jones,12015150
133,Chris Boucher,11750000
134,Bobby Portis,11710818
134,Nicolas Batum,11710818
136,Robert Covington,11692308
137,Paolo Banchero,11608080
138,Robert Williams,11571429
139,Coby White,11111111
140,Cade Cunningham,11055360
141,Talen Horton-Tucker,11020000
142,PJ Tucker,11014500
143,Maxi Kleber,11000000
143,Joe Ingles,11000000
145,Ivica Zubac,10933333
146,LaMelo Ball,10900635
147,Donte DiVincenzo,10900000
148,Brandon Miller,10880364
149,Terance Mann,10576923
150,Matisse Thybulle,10500000
150,Gabe Vincent,10500000
152,Alec Burks,10489600
152,Reggie Bullock,10489600
154,Chet Holmgren,10386000
155,Larry Nance Jr,10375000
156,Landry Shamet,10250000
157,Al Horford,10000000
158,Malik Monk,9945830
159,Tre Jones,9895833
160,Jalen Green,9891480
161,Patrick Williams,9835881
162,Monte Morris,9800926
163,Scoot Henderson,9770904
164,Nicolas Claxton,9625000
165,Jeff Green,9600000
166,Royce O'Neale,9500000
167,Alex Caruso,9460000
168,Victor Oladipo,9450000
169,Pat Connaughton,9423869
170,Jabari Smith,9326520
171,Isaiah Hartenstein,9245121
172,Kyle Anderson,9219512
173,Daniel Theis,9108386
174,JaVale McGee,8930728
175,Grayson Allen,8925000
176,Isaac Okoro,8920794
177,Evan Mobley,8882640
178,Amen Thompson,8809284
179,Georges Niang,8800000
180,Gary Payton II,8715000
181,TJ McConnell,8700000
182,Keegan Murray,8409000
183,Delon Wright,8195122
184,Onyeka Okongwu,8109063
