ID,Title,Description,Category_title,Geometry_Coordinates_1,Date,Time,Split,Long,Lat
EONET_14198,HOPE Wildfire  Stevens  Washington,15 Miles N from KETTLE FALLS  WA,Wildfires,-117.982361  48.821248,7/8/25,16:38:00,12,-117.982361, 48.821248
EONET_14200,Hot Canyon Wildfire  Elko  Nevada,10 Miles NW from Montello  NV,Wildfires,-114.336333  41.368,7/8/25,16:18:00,12,-114.336333, 41.368
EONET_14215,13 MILE FIRE Wildfire  Palm Beach  Florida,21 Miles S from BELLE GLADE  FL,Wildfires,-80.79  26.3833333,7/8/25,15:34:00,7,-80.79, 26.3833333
EONET_14209,UDC Fire Wildfire  Jefferson  Oregon,1 Miles SW from warm springs  OR,Wildfires,-121.288889  44.803444,7/7/25,22:59:00,12,-121.288889, 44.803444
EONET_14199,0482 SUNRISE Wildfire  Crook  Oregon,8 Miles S from Paulina  OR,Wildfires,-120.038167  44.019167,7/7/25,14:45:00,12,-120.038167, 44.019167
EONET_14218,Wheeler Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-156.631383  66.135283,7/7/25,12:12:00,12,-156.631383, 66.135283
EONET_14196,Sikik Wildfire  Northwest Arctic  Alaska,60 Miles N from Ambler  AK,Wildfires,-158.14  67.97,7/6/25,12:35:00,8,-158.14, 67.97
EONET_14180,Tropical Storm Chantal,,Severe Storms,-78.7  31.1,7/5/25,15:00:00,6,-78.7, 31.1
EONET_14197,Tsukon Wildfire  Yukon-Koyukuk  Alaska,17 Miles NW from Venetie  AK,Wildfires,-146.021117  66.8268,7/4/25,20:43:00,12,-146.021117, 66.8268
EONET_14207,Bartlett Wildfire  Humboldt  Nevada,60 Miles NW from Winnemucca  NV,Wildfires,-118.867117  41.4988,7/4/25,18:31:00,12,-118.867117, 41.4988
EONET_14202,Flicker Wildfire  Phillips  Montana,40 Miles S from Malta  MT,Wildfires,-108.161667  47.621667,7/4/25,14:25:00,12,-108.161667, 47.621667
EONET_14174,Typhoon Danas,,Severe Storms,117.8  20.1,7/4/25,12:00:00,6,117.8, 20.1
EONET_14204,BARBER Wildfire  Pershing  Nevada,11 Miles S from Winnemucca  NV,Wildfires,-117.863733  40.714483,7/4/25,3:33:00,12,-117.863733, 40.714483
EONET_14203,BUTLER Wildfire  Siskiyou  California,10 Miles E from Orleans  CA,Wildfires,-123.410667  41.315333,7/3/25,21:44:00,12,-123.410667, 41.315333
EONET_14210,Uncle Sam Creek Wildfire  Fairbanks North Star  Alaska,20 Miles E from Salcha  AK,Wildfires,-146.271833  64.4515,7/3/25,19:58:00,12,-146.271833, 64.4515
EONET_14205,MARBLE COMPLEX Incident Complex  Siskiyou  California,16 Miles W from Etna  CA,Wildfires,-123.1997222  41.4258333,7/3/25,14:22:00,13,-123.1997222, 41.4258333
EONET_14227,Rx Jasper 3208 Prescribed Fire  Jasper  Texas,,Wildfires,-94.056877  30.778548,7/3/25,13:53:00,11,-94.056877, 30.778548
EONET_14211,Wilder Wildfire  Fergus  Montana,27 Miles NE from Roy  MT,Wildfires,-108.452633  47.556967,7/3/25,1:30:00,12,-108.452633, 47.556967
EONET_14223,Spring Creek Wildfire  Platte  Wyoming,10 Miles S from Douglas  WY,Wildfires,-105.230283  42.604967,7/2/25,20:31:00,12,-105.230283, 42.604967
EONET_14201,APPLE ACRES Wildfire  Chelan  Washington,5 Miles S from Pateros  WA,Wildfires,-119.91205  47.926667,7/2/25,19:37:00,11,-119.91205, 47.926667
EONET_14219,SIEGEL Wildfire  Spokane  Washington,14 Miles S from CHENEY  WA,Wildfires,-117.547016  47.282184,7/2/25,18:52:00,12,-117.547016, 47.282184
EONET_14225,COLD SPRINGS Wildfire  Umatilla  Oregon,12 Miles NE from Hermiston  OR,Wildfires,-119.097306  45.923944,7/2/25,18:50:00,12,-119.097306, 45.923944
EONET_14208,Juniper Wildfire  Yavapai  Arizona,5 Miles W from Black Canyon City  AZ,Wildfires,-112.258333  34.1135,7/2/25,18:11:00,12,-112.258333, 34.1135
EONET_14212,0391 GRIZZLY FLAT Wildfire  Jefferson  Oregon,12 Miles NE from Prineville  OR,Wildfires,-120.950117  44.4813,7/2/25,15:47:00,12,-120.950117, 44.4813
EONET_14206,GREEN Wildfire  Shasta  California,13 Miles E from Lakehead  CA,Wildfires,-122.096717  40.833867,7/2/25,12:19:00,12,-122.096717, 40.833867
EONET_14153,Tropical Storm Mun,,Severe Storms,146.8  25.7,7/2/25,6:00:00,6,146.8, 25.7
EONET_14226,Powder River Wildfire  Johnson  Wyoming,24 Miles NW from Gillette  WY,Wildfires,-106.0963  44.43205,7/1/25,22:56:00,10,-106.0963, 44.43205
EONET_14228,HALL Wildfire  Hot Springs  Wyoming,2 Miles W from Kirby  WY,Wildfires,-108.223028  43.731972,7/1/25,18:30:00,12,-108.223028, 43.731972
EONET_14213,Black Canyon Wildfire  Lake  Oregon,15 Miles E from Plush  OR,Wildfires,-119.591367  42.425033,7/1/25,14:51:00,12,-119.591367, 42.425033
EONET_14214,Mosquito Wildfire  Monroe  Florida,22 Miles W from Homestead  FL,Wildfires,-80.896733  25.533017,7/1/25,13:05:00,11,-80.896733, 25.533017
EONET_14130,JUNIPER Wildfire  Riverside  California,11 Miles W from Gavilan Hills  CA,Wildfires,-117.326132  33.802331,6/30/25,14:29:00,12,-117.326132, 33.802331
EONET_14129,WOLF Wildfire  Riverside  California,2 Miles S from Banning  CA,Wildfires,-116.89443  33.871222,6/29/25,18:30:00,11,-116.89443, 33.871222
EONET_14131,Taylor Draw Wildfire  Carbon  Wyoming,16 Miles W from Hanna  WY,Wildfires,-106.794327  41.853392,6/29/25,1:39:00,12,-106.794327, 41.853392
EONET_14132,Oak Ridge Wildfire  Apache  Arizona,5 Miles SW from Window Rock  AZ,Wildfires,-109.1863889  35.6166667,6/28/25,20:55:00,13,-109.1863889, 35.6166667
EONET_14060,Horse Draw Wildfire  Moffat  Colorado,4 Miles NE from Massadona  CO,Wildfires,-108.598633  40.26395,6/26/25,18:07:00,12,-108.598633, 40.26395
EONET_14082,EVP CP-1 Exotics Rx 0626 Prescribed Fire  Monroe  Florida,,Wildfires,-81.190217  25.6428,6/26/25,8:36:00,11,-81.190217, 25.6428
EONET_14081,EVP CP-1 Exotics Rx 0625 Prescribed Fire  Monroe  Florida,,Wildfires,-81.190217  25.6428,6/25/25,7:39:00,11,-81.190217, 25.6428
EONET_14085,EVER CP-1 Exotics Rx Prescribed Fire  Monroe  Florida,,Wildfires,-81.190217  25.6428,6/25/25,7:17:00,11,-81.190217, 25.6428
EONET_14086,FPR CPT 35 36 Rx 0625 Prescribed Fire  Collier  Florida,,Wildfires,-81.3562  26.204167,6/25/25,7:14:00,9,-81.3562, 26.204167
EONET_14087,OKR Soldiers Camp Island Rx 0625 Prescribed Fire  Ware  Georgia,,Wildfires,-82.210217  30.597533,6/25/25,7:12:00,11,-82.210217, 30.597533
EONET_14072,Indian Prairie Canal (22) Wildfire  Glades  Florida,7 Miles SW from Buckhead Ridge  FL,Wildfires,-80.9752778  27.0647222,6/24/25,21:58:00,12,-80.9752778, 27.0647222
EONET_14098,HENRY GEORGE WEST (29)~ Wildfire  Hillsborough  Florida,9 Miles E from BRANDON  FL,Wildfires,-82.1061111  27.9261111,6/24/25,21:47:00,12,-82.1061111, 27.9261111
EONET_14099,OKR Floyds Island Rx 0624 Prescribed Fire  Charlton  Georgia,,Wildfires,-82.247567  30.86855,6/24/25,6:47:00,11,-82.247567, 30.86855
EONET_14095,Racquet Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-141.106667  66.326383,6/23/25,17:41:00,12,-141.106667, 66.326383
EONET_14096,BARSTOW ROAD Wildfire  Walla Walla  Washington,12 Miles S from Prescott  WA,Wildfires,-118.34398  46.47261,6/23/25,10:29:00,11,-118.34398, 46.47261
EONET_14062,New Cottonwood Wildfire  Northwest Arctic  Alaska,,Wildfires,-159.64  68.17,6/22/25,22:44:00,8,-159.64, 68.17
EONET_14083,Shortcut Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-151.537233  65.085039,6/22/25,21:25:00,12,-151.537233, 65.085039
EONET_14100,Ikpikpuk Wildfire  North Slope  Alaska,,Wildfires,-154.87  69.54,6/22/25,13:41:00,8,-154.87, 69.54
EONET_14101,Bronx Wildfire  North Slope  Alaska,,Wildfires,-155.25  69.47,6/22/25,13:09:00,8,-155.25, 69.47
EONET_14070,Nenana Ridge Complex Incident Complex  Fairbanks North Star  Alaska,20 Miles SW from Fairbanks  AK,Wildfires,-148.602775  64.724717,6/22/25,0:19:00,12,-148.602775, 64.724717
EONET_14052,Kirishimayama Volcano  Japan,,Volcanoes,130.862  31.934,6/22/25,0:00:00,8,130.862, 31.934
EONET_14090,Roundabout Complex Incident Complex  Yukon-Koyukuk  Alaska,8 Miles SW from Huslia  AK,Wildfires,-156.590973  65.851001,6/21/25,20:03:00,12,-156.590973, 65.851001
EONET_14071,Yellow Wildfire  Yukon-Koyukuk  Alaska,43 Miles SW from Birch Creek  AK,Wildfires,-146.588333  65.7275,6/21/25,18:32:00,12,-146.588333, 65.7275
EONET_14102,East Gakona River Wildfire  Copper River  Alaska,,Wildfires,-145.008333  62.766833,6/21/25,17:29:00,12,-145.008333, 62.766833
EONET_14061,Sand Lake Wildfire  Southeast Fairbanks  Alaska,44 Miles SE from Delta Junction  AK,Wildfires,-144.365467  63.797167,6/21/25,16:55:00,12,-144.365467, 63.797167
EONET_14063,Kerulu Wildfire  Northwest Arctic  Alaska,,Wildfires,-158.14  66.38,6/21/25,16:47:00,8,-158.14, 66.38
EONET_14064,Tallowpot Wildfire  Northwest Arctic  Alaska,35 Miles NE from Deering  AK,Wildfires,-163.886333  65.887333,6/21/25,13:27:00,12,-163.886333, 65.887333
EONET_14092,McArthur Creek Wildfire  Southeast Fairbanks  Alaska,40 Miles E from Tetlin  AK,Wildfires,-141.210917  63.115533,6/21/25,0:45:00,12,-141.210917, 63.115533
EONET_14077,Ridgeline Wildfire  Southeast Fairbanks  Alaska,48 Miles E from Tok  AK,Wildfires,-141.44  63.378917,6/20/25,23:04:00,8,-141.44, 63.378917
EONET_14093,River Trail Wildfire  Southeast Fairbanks  Alaska,32 Miles NE from Tok  AK,Wildfires,-141.947883  63.4187,6/20/25,23:03:00,12,-141.947883, 63.4187
EONET_14089,Moldy Wildfire  Yukon-Koyukuk  Alaska,null Miles null from null  ,Wildfires,-156.739841  65.582658,6/20/25,22:46:00,12,-156.739841, 65.582658
EONET_14088,Louie Wildfire  Yukon-Koyukuk  Alaska,null Miles null from null  ,Wildfires,-156.743  65.582333,6/20/25,22:41:00,9,-156.743, 65.582333
EONET_14067,Ptarmigan Complex Incident Complex  Yukon-Koyukuk  Alaska,2 Miles S from Central  AK,Wildfires,-144.510988  65.631179,6/20/25,21:51:00,12,-144.510988, 65.631179
EONET_14103,Fish Lake Wildfire  Copper River  Alaska,,Wildfires,-145.97365  62.60625,6/20/25,20:40:00,11,-145.97365, 62.60625
EONET_14073,Porphyry Wildfire  Southeast Fairbanks  Alaska,19 Miles SE from Chicken  AK,Wildfires,-142.5525  64.2,6/20/25,20:34:00,10,-142.5525, 64.2
EONET_14069,Goldstream Creek Wildfire  Yukon-Koyukuk  Alaska,null Miles null from null  ,Wildfires,-148.759167  64.73555,6/20/25,19:57:00,12,-148.759167, 64.73555
EONET_14091,Salmon Trout Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-141.54  66.83,6/20/25,19:49:00,8,-141.54, 66.83
EONET_14075,Aggie Creek Wildfire  Fairbanks North Star  Alaska,23 Miles NW from Fairbanks  AK,Wildfires,-148.154167  65.122783,6/20/25,19:41:00,12,-148.154167, 65.122783
EONET_14065,Alligator Wildfire  Yukon-Koyukuk  Alaska,null Miles null from null  ,Wildfires,-144.760333  65.636167,6/20/25,18:42:00,12,-144.760333, 65.636167
EONET_14079,Buckley Bar Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-144.343517  65.368167,6/20/25,18:37:00,12,-144.343517, 65.368167
EONET_14084,Pilot Creek Wildfire  Yukon-Koyukuk  Alaska,74 Miles N from McGrath  AK,Wildfires,-154.8635  63.9605,6/20/25,18:35:00,10,-154.8635, 63.9605
EONET_14094,Susulatna Hills Wildfire  Yukon-Koyukuk  Alaska,48 Miles NE from McGrath  AK,Wildfires,-155.283333  63.583333,6/20/25,18:28:00,12,-155.283333, 63.583333
EONET_14074,Easter Wildfire  North Slope  Alaska,58 Miles W from Anaktuvuk Pass  AK,Wildfires,-153.99  68.05,6/20/25,18:20:00,8,-153.99, 68.05
EONET_14104,Colowyo Wildfire  Moffat  Colorado,30 Miles SW from Craig  CO,Wildfires,-107.829344  40.245916,6/20/25,17:56:00,12,-107.829344, 40.245916
EONET_14057,Hay Wildfire  Yukon-Koyukuk  Alaska,15 Miles SE from Tanana  AK,Wildfires,-151.61  65.1,6/20/25,17:53:00,8,-151.61, 65.1
