,state,DEMOCRAT,REPUBLICAN,vote
0,ALABAMA,849624,1441170,r
1,ALASKA,153778,189951,r
2,ARIZONA,1672143,1661686,d
3,ARKANSAS,423932,760647,r
4,CALIFORNIA,11110250,6006429,d
5,COLORADO,1804352,1364607,d
6,CONNECTICUT,1080831,714717,d
7,DELAWARE,296268,200603,d
8,DISTRICT OF COLUMBIA,317323,18586,d
9,FLORIDA,5297045,5668731,r
10,GEORGIA,2474507,2461837,d
11,HAWAII,366127,196855,d
12,IDAHO,287021,554119,r
13,ILLINOIS,3471915,2446891,d
14,INDIANA,1242416,1729519,r
15,IOWA,759061,902009,r
16,KANSAS,570323,771406,r
17,KENTUCKY,772285,1326418,r
18,LOUISIANA,856034,1255776,r
19,MAINE,430473,359899,d
20,MARYLAND,1985023,976414,d
21,MASSACHUSETTS,2382202,1167202,d
22,MICHIGAN,2804040,2649852,d
23,MINNESOTA,1717077,1484065,d
24,MISSISSIPPI,539398,756764,r
25,MISSOURI,1253014,1718736,r
26,MONTANA,244786,343602,r
27,NEBRASKA,374583,556846,r
28,NEVADA,703314,669608,d
29,NEW HAMPSHIRE,424937,365660,d
30,NEW JERSEY,2608335,1883274,d
31,NEW MEXICO,501614,401894,d
32,NEW YORK,5230985,3244798,d
33,NORTH CAROLINA,2684292,2758773,r
34,NORTH DAKOTA,114902,235595,r
35,OHIO,2679165,3154834,r
36,OKLAHOMA,503890,1020280,r
37,OREGON,1340383,958448,d
38,PENNSYLVANIA,3458229,3377674,d
39,RHODE ISLAND,307486,199922,d
40,SOUTH CAROLINA,1091541,1385103,r
41,SOUTH DAKOTA,150471,261043,r
42,TENNESSEE,1143711,1852475,r
43,TEXAS,5259126,5890347,r
44,UTAH,560282,865139,r
45,VERMONT,242826,112708,d
46,VIRGINIA,2413568,1962430,d
47,WASHINGTON,2369612,1584651,d
48,WEST VIRGINIA,235984,545382,r
49,WISCONSIN,1630673,1610065,d
50,WYOMING,73491,193559,r
