,Unnamed: 0,index,id,contact_city,contact_state,found,manual,remove,still_there,foundrev
0,0,0,44520267,Anoka,MN,Arkansas,,,,Arkansas
1,1,1,44698509,Groveland,FL,Abacos,Bahamas,,,Bahamas
2,2,2,45983838,Adamstown,MD,Adam,Maryland,,,Maryland
3,3,3,44475904,Saint Cloud,MN,Adaptil,,True,,Adaptil
4,4,4,43877389,Pueblo,CO,Afghanistan,,,,Afghanistan
5,5,5,43082511,Manchester,CT,Afghanistan,,,,Afghanistan
6,6,6,45287347,Wooster,OH,Akron,Ohio,,,Ohio
7,7,7,45287347,Wooster,OH,Akron,Ohio,,,Ohio
8,8,8,45987719,Locust Fork,AL,Alabama,,,,Alabama
9,9,9,45943086,Locust Fork,AL,Alabama,,,,Alabama
10,10,10,45942459,Locust Fork,AL,Alabama,,,,Alabama
11,11,11,45942229,Locust Fork,AL,Alabama,,,,Alabama
12,12,12,45941983,Locust Fork,AL,Alabama,,,,Alabama
13,13,13,45898359,Locust Fork,AL,Alabama,,,,Alabama
14,14,14,45886372,Locust Fork,AL,Alabama,,,,Alabama
15,15,15,45886371,Locust Fork,AL,Alabama,,,,Alabama
16,16,16,45864590,Locust Fork,AL,Alabama,,,,Alabama
17,17,17,45863153,Locust Fork,AL,Alabama,,,,Alabama
18,18,18,45862971,Locust Fork,AL,Alabama,,,,Alabama
19,19,19,45852535,Locust Fork,AL,Alabama,,,,Alabama
20,20,20,45850607,Locust Fork,AL,Alabama,,,,Alabama
21,21,21,45800965,Locust Fork,AL,Alabama,,,,Alabama
22,22,22,45800836,Locust Fork,AL,Alabama,,,,Alabama
23,23,23,45795675,Locust Fork,AL,Alabama,,,,Alabama
24,24,24,45795582,Locust Fork,AL,Alabama,,,,Alabama
25,25,25,45795234,Locust Fork,AL,Alabama,,,,Alabama
26,26,26,45795234,Locust Fork,AL,Alabama,,,,Alabama
27,27,27,45767587,Locust Fork,AL,Alabama,,,,Alabama
28,28,28,45767425,Locust Fork,AL,Alabama,,,,Alabama
29,29,29,45751466,Locust Fork,AL,Alabama,,,,Alabama
30,30,30,45735981,Locust Fork,AL,Alabama,,,,Alabama
31,31,31,45735025,Locust Fork,AL,Alabama,,,,Alabama
32,32,32,45596728,Locust Fork,AL,Alabama,,,,Alabama
33,33,33,45583580,Locust Fork,AL,Alabama,,,,Alabama
34,34,34,45578504,Locust Fork,AL,Alabama,,,,Alabama
35,35,35,45571287,Locust Fork,AL,Alabama,,,,Alabama
36,36,36,45403745,Locust Fork,AL,Alabama,,,,Alabama
37,37,37,45395917,Locust Fork,AL,Alabama,,,,Alabama
38,38,38,45395916,Locust Fork,AL,Alabama,,,,Alabama
39,39,39,45359510,Locust Fork,AL,Alabama,,,,Alabama
40,40,40,45348204,Locust Fork,AL,Alabama,,,,Alabama
41,41,41,45319796,Locust Fork,AL,Alabama,,,,Alabama
42,42,42,45307667,Locust Fork,AL,Alabama,,,,Alabama
43,43,43,45182453,Locust Fork,AL,Alabama,,,,Alabama
44,44,44,45182452,Locust Fork,AL,Alabama,,,,Alabama
45,45,45,45182449,Locust Fork,AL,Alabama,,,,Alabama
46,46,46,45168511,Locust Fork,AL,Alabama,,,,Alabama
47,47,47,45123683,Locust Fork,AL,Alabama,,,,Alabama
48,48,48,45105047,Locust Fork,AL,Alabama,,,,Alabama
49,49,49,45094595,Locust Fork,AL,Alabama,,,,Alabama
50,50,50,45094582,Locust Fork,AL,Alabama,,,,Alabama
51,51,51,45014230,Locust Fork,AL,Alabama,,,,Alabama
52,52,52,45008032,Locust Fork,AL,Alabama,,,,Alabama
53,53,53,44821932,Locust Fork,AL,Alabama,,,,Alabama
54,54,54,44812223,Locust Fork,AL,Alabama,,,,Alabama
55,55,55,44429318,Locust Fork,AL,Alabama,,,,Alabama
56,56,56,45945049,Westminster,CO,Alabama,,True,,Alabama
57,57,57,45945048,Evergreen,CO,Alabama,,True,,Alabama
58,58,58,44740613,Westminster,CO,Alabama,,,,Alabama
59,59,59,44739540,Evergreen,CO,Alabama,,,,Alabama
60,60,60,46026256,Patterson,NY,Alabama,,,,Alabama
61,61,61,46016066,Lodi,NJ,Alabama,,,,Alabama
62,62,62,46016034,Lodi,NJ,Alabama,,,,Alabama
63,63,63,45985897,Patterson,NY,Alabama,,,,Alabama
64,64,64,45985898,Patterson,NY,Alabama,,,,Alabama
65,65,65,45985546,Patterson,NY,Alabama,,,,Alabama
