product_id,product_name,gender,category,pattern,color,age_group,season,price,material,sales_count,reviews_count,average_rating,out_of_stock_times,brand,discount,last_stock_date,wish_list_count,month_of_sale,year_of_sale
1001,Biker Jacket,Male,Shirt,Geometric,White,25-35,Spring,70.36,Synthetic,75,65,4.9,3,ZARA,20%,1/28/18,211,1,2018
1002,Business Shirt,Male,Jacket,Polka Dots,Beige,18-24,Summer,91.59,Wool,296,25,3.5,6,ZARA,0%,1/28/18,211,1,2018
1003,Wool Jacket,Female,Dress,Geometric,Brown,18-24,All,129.52,Wool,50,32,4.3,4,ZARA,5%,1/7/18,64,1,2018
1004,Summer Dress,Male,Shorts,Plain,White,25-35,All,116.01,Cotton,435,73,4.6,3,ZARA,10%,1/1/18,171,1,2018
1005,Casual Jeans,Male,Shirt,Plain,Beige,35-45,Winter,125.48,Viscose,79,36,3.6,4,ZARA,0%,1/28/18,126,1,2018
1006,Business Shirt,Female,Shirt,Plain,Brown,35-45,Spring,23.9,Denim,332,96,4.7,6,ZARA,15%,1/16/18,136,1,2018
1007,Casual Jeans,Female,Blouse,Plain,Beige,25-35,All,27.95,Denim,100,92,4,3,ZARA,10%,1/2/18,170,1,2018
1008,Heels,Male,Shoes,Geometric,Beige,25-35,Autumn,87.09,Viscose,333,97,3.2,3,ZARA,0%,1/3/18,128,1,2018
1009,Beach Shirt,Female,Shirt,Polka Dots,Brown,35-45,All,97.1,Denim,424,68,3.5,6,ZARA,10%,1/14/18,193,1,2018
1010,Pattern Skirt,Female,Jeans,Plain,Brown,35-45,Summer,42.82,Synthetic,335,33,4.1,6,ZARA,0%,1/21/18,248,1,2018
1011,Business Shirt,Female,Dress,Plain,Beige,25-35,All,85.52,Synthetic,304,87,3.7,2,ZARA,5%,1/1/18,213,1,2018
1012,Blouse,Female,Jacket,Plain,White,18-24,Spring,36.11,Cotton,62,97,4.6,5,ZARA,0%,2/12/18,73,2,2018
1013,Chino Shorts,Female,Jeans,Heart,Red,25-35,Autumn,112.16,Leather,352,38,4.4,4,ZARA,20%,2/19/18,181,2,2018
1014,Pattern Skirt,Female,Jeans,Heart,Pink,18-24,Winter,91.96,Leather,461,48,4,5,ZARA,10%,2/21/18,88,2,2018
1015,Blouse,Female,Shorts,Plain,Red,35-45,Spring,41.31,Denim,265,100,3.7,3,ZARA,10%,2/8/18,130,2,2018
1016,Blouse,Female,Jeans,Polka Dots,Pink,35-45,All,140.63,Synthetic,146,24,4.6,6,ZARA,10%,2/10/18,181,2,2018
1017,Pattern Skirt,Male,Shorts,Heart,White,18-24,Winter,76.42,Synthetic,296,73,3,6,ZARA,5%,2/24/18,84,2,2018
1018,Summer Dress,Male,Skirt,Plain,Pink,18-24,Summer,113.35,Cotton Blend,247,79,3.3,6,ZARA,5%,2/18/18,149,2,2018
1019,Casual Jeans,Female,Shorts,Heart,Pink,18-24,Summer,90.37,Viscose,437,21,4.8,4,ZARA,15%,2/6/18,153,2,2018
1020,Pattern Skirt,Female,Skirt,Polka Dots,White,35-45,Spring,74.13,Synthetic,356,34,3.8,2,ZARA,0%,2/25/18,139,2,2018
1021,Blouse,Male,Skirt,Plain,Pink,35-45,All,25.48,Cotton,451,72,3.6,1,ZARA,10%,2/22/18,54,2,2018
1022,Blouse,Male,Jeans,Polka Dots,White,18-24,Summer,147.52,Cotton,189,37,3.9,6,ZARA,15%,2/9/18,104,2,2018
1023,Heels,Male,Shoes,Geometric,White,25-35,Autumn,137.01,Synthetic,426,54,4.2,2,ZARA,15%,3/11/18,170,3,2018
1024,Pattern Skirt,Male,Shoes,Geometric,Beige,18-24,Summer,87.58,Wool,377,75,4.8,2,ZARA,5%,3/23/18,186,3,2018
1025,Blouse,Female,Dress,Polka Dots,Beige,25-35,Winter,67.56,Cotton Blend,198,68,3.8,5,ZARA,20%,3/18/18,149,3,2018
1026,Casual Jeans,Male,Shorts,Polka Dots,White,18-24,Summer,71.04,Leather,405,67,3.2,2,ZARA,15%,3/28/18,101,3,2018
1027,Summer Dress,Male,Jeans,Geometric,White,35-45,Autumn,67.63,Viscose,177,42,4.6,6,ZARA,20%,3/23/18,196,3,2018
1028,Business Shirt,Male,Shorts,Polka Dots,Brown,35-45,Autumn,141.71,Viscose,234,44,4.1,4,ZARA,15%,3/16/18,120,3,2018
1029,Summer Dress,Female,Skirt,Geometric,Beige,18-24,All,57.57,Synthetic,78,38,3.2,1,ZARA,10%,3/16/18,195,3,2018
1030,Casual Jeans,Male,Dress,Polka Dots,Brown,35-45,Summer,73.83,Leather,244,69,3.9,5,ZARA,10%,3/21/18,116,3,2018
1031,Blouse,Male,Shorts,Geometric,Beige,35-45,Winter,62.27,Synthetic,381,87,4,2,ZARA,5%,3/17/18,181,3,2018
1032,Biker Jacket,Female,Shirt,Geometric,Beige,18-24,All,60.63,Leather,142,88,4.5,3,ZARA,15%,3/22/18,64,3,2018
1033,Beach Shirt,Male,Blouse,Plain,Brown,35-45,All,95.85,Cotton Blend,78,94,3.3,5,ZARA,0%,3/4/18,212,3,2018
1034,Blouse,Male,Skirt,Geometric,Brown,18-24,Autumn,115.58,Wool,168,95,3.6,3,ZARA,5%,4/4/18,212,4,2018
1035,Wool Jacket,Male,Skirt,Plain,Brown,25-35,Autumn,27.99,Wool,87,99,4.3,5,ZARA,15%,4/24/18,247,4,2018
1036,Casual Jeans,Female,Jeans,Geometric,Beige,35-45,Summer,51.7,Synthetic,123,24,3.1,4,ZARA,5%,4/23/18,82,4,2018
1037,Pattern Skirt,Male,Dress,Plain,White,18-24,Spring,119.51,Viscose,466,36,4.7,1,ZARA,5%,4/13/18,95,4,2018
1038,Beach Shirt,Male,Blouse,Geometric,White,35-45,All,143.34,Cotton Blend,205,81,4.2,4,ZARA,20%,4/23/18,190,4,2018
1039,Heels,Female,Shirt,Polka Dots,Beige,18-24,Autumn,88.76,Denim,360,43,3.1,3,ZARA,0%,4/20/18,136,4,2018
1040,Summer Dress,Male,Shorts,Geometric,Brown,18-24,Summer,128.54,Leather,138,46,3.6,5,ZARA,0%,4/29/18,142,4,2018
1041,Beach Shirt,Male,Shoes,Polka Dots,Beige,25-35,Winter,37.19,Wool,160,82,4,4,ZARA,15%,4/21/18,140,4,2018
1042,Biker Jacket,Male,Blouse,Geometric,White,25-35,Winter,31.6,Leather,217,90,4.6,3,ZARA,10%,4/6/18,155,4,2018
