,ORIGIN,DEST,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,AIRCRAFT_TYPE,MONTH,iata_x,name_x,city_x,country_x,lat_x,lon_x,tz_x,iata_y,name_y,city_y,subd_y,country_y,lat_y,lon_y,tz_y,passlog
0,ABE,ATL,130.0,8687.0,40540,41588,2538,30,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,ATL,Hartsfield - Jackson Atlanta International Airport,Atlanta,Georgia,US,33.63669961,-84.427864,America/New_York,9.06958293425992
1,ABE,BNA,51.0,6834.0,101350,106930,6952,48,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,BNA,Nashville International Airport,Nashville,Tennessee,US,36.124475,-86.67818056,America/Chicago,8.829665432675236
2,ABE,BOS,1.0,116.0,10135,10721,694,3,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,BOS,General Edward Lawrence Logan International Airport,Boston,Massachusetts,US,42.36294444,-71.00638889,America/New_York,4.7535901911063645
3,ABE,DTW,60.0,3301.0,30405,34299,1914,16,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,DTW,Detroit Metro Wayne County Airport,Detroit,Michigan,US,42.21244444,-83.35338889,America/New_York,8.101980731853192
4,ABE,EWR,9.0,1090.0,91215,104562,6650,43,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,EWR,Newark Liberty International Airport,Newark,New Jersey,US,40.69247983,-74.16868678,America/New_York,6.993932975223189
5,ABE,FLL,61.0,9217.0,81080,93576,5552,36,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,FLL,Fort Lauderdale/Hollywood International Airport,Fort Lauderdale,Florida,US,26.07166667,-80.14969444,America/New_York,9.128804883993665
6,ABE,GSP,2.0,130.0,20270,23992,1276,15,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,GSP,Greenville Spartanburg International Airport,Greer,South Carolina,US,34.89567111,-82.21885944,America/New_York,4.867534450455582
7,ABE,HPN,1.0,16.0,10135,12197,631,2,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,HPN,Westchester County Airport,White Plains,New York,US,41.06695306,-73.70756611,America/New_York,2.772588722239781
8,ABE,JAX,1.0,177.0,10135,12451,694,4,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,JAX,Jacksonville International Airport,Jacksonville,Florida,US,30.49404556,-81.68784667,America/New_York,5.176149732573829
9,ABE,LGA,8.0,77.0,50675,64765,3365,24,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,LGA,Laguardia Airport,New York,New York,US,40.77725,-73.87261111,America/New_York,4.343805421853684
10,ABE,MDT,2.0,222.0,20270,26460,1332,9,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,MDT,Harrisburg International Airport,Harrisburg,Pennsylvania,US,40.19319167,-76.76261917,America/New_York,5.402677381872279
11,ABE,MYR,80.0,12558.0,50675,67885,3470,30,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,MYR,Myrtle Beach International Airport,Myrtle Beach,South Carolina,US,33.67974111,-78.92832139,America/New_York,9.438113191674054
12,ABE,ORD,3.0,75.0,10135,13930,631,2,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,ORD,Chicago O'Hare International Airport,Chicago,Illinois,US,41.97694028,-87.90814972,America/Chicago,4.31748811353631
13,ABE,PBI,1.0,124.0,10135,14027,694,3,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,PBI,Palm Beach International Airport,West Palm Beach,Florida,US,26.68316167,-80.09559194,America/New_York,4.820281565605037
14,ABE,PGD,135.0,21537.0,81080,112656,5552,36,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,PGD,Punta Gorda Airport,Punta Gorda,Florida,US,37.7789092,-85.4941891,America/Florida,9.977527665244592
15,ABE,PIE,189.0,30558.0,111485,155232,7646,57,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,PIE,St Pete-Clearwater International Airport,St Petersburg-Clearwater,Florida,US,27.90863361,-82.68651,America/New_York,10.32738179611266
16,ABE,SAV,20.0,2634.0,30405,44055,2094,21,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,SAV,Savannah/Hilton Head International Airport,Savannah,Georgia,US,32.12758333,-81.20213889,America/New_York,7.876258882303226
17,ABE,SFB,397.0,65273.0,81080,118088,5552,36,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,SFB,Orlando Sanford International Airport,Orlando,Florida,US,28.77717806,-81.23491389,America/New_York,11.086333753496243
18,ABE,SRQ,72.0,11056.0,81080,119888,5552,36,ABE,Lehigh Valley International Airport,Allentown,US,40.65236278,-75.44040583,America/New_York,SRQ,Sarasota/Bradenton International Airport,Sarasota/Bradenton,Florida,US,27.39544444,-82.55438889,America/New_York,9.310728546007452
19,ABI,DFW,17.0,2382.0,81088,90384,5335,46,ABI,Abilene Regional Airport,Abilene,US,32.41133333,-99.68188889,America/Chicago,DFW,Dallas-Fort Worth International Airport,Dallas-Fort Worth,Texas,US,32.89723306,-97.03769472,America/Chicago,7.775695749915245
20,ABQ,ABI,1.0,144.0,10140,10136,614,8,ABQ,Albuquerque International Sunport Airport,Albuquerque,US,35.03893156,-106.6082622,America/Denver,ABI,Abilene Regional Airport,Abilene,Texas,US,32.41133333,-99.68188889,America/Chicago,4.969813299576001
22,ABQ,ATL,713.0,110190.0,141960,145558,9668,75,ABQ,Albuquerque International Sunport Airport,Albuquerque,US,35.03893156,-106.6082622,America/Denver,ATL,Hartsfield - Jackson Atlanta International Airport,Atlanta,Georgia,US,33.63669961,-84.427864,America/New_York,11.609961427481823
23,ABQ,AUS,255.0,33401.0,223080,229306,14389,89,ABQ,Albuquerque International Sunport Airport,Albuquerque,US,35.03893156,-106.6082622,America/Denver,AUS,Austin-Bergstrom International Airport,Austin,Texas,US,30.19452722,-97.66987611,America/Chicago,10.416341118636355
24,ABQ,BNA,1.0,187.0,10140,10693,699,6,ABQ,Albuquerque International Sunport Airport,Albuquerque,US,35.03893156,-106.6082622,America/Denver,BNA,Nashville International Airport,Nashville,Tennessee,US,36.124475,-86.67818056,America/Chicago,5.231108616854587
26,ABQ,BOS,3.0,474.0,20280,21442,1393,6,ABQ,Albuquerque International Sunport Airport,Albuquerque,US,35.03893156,-106.6082622,America/Denver,BOS,General Edward Lawrence Logan International Airport,Boston,Massachusetts,US,42.36294444,-71.00638889,America/New_York,6.161207321695077
27,ABQ,BUR,225.0,27716.0,101400,108000,6348,45,ABQ,Albuquerque International Sunport Airport,Albuquerque,US,35.03893156,-106.6082622,America/Denver,BUR,Bob Hope Airport,Burbank,California,US,34.20069444,-118.3586667,America/Los_Angeles,10.229765142747272
28,ABQ,BWI,28.0,3973.0,101400,108210,6580,46,ABQ,Albuquerque International Sunport Airport,Albuquerque,US,35.03893156,-106.6082622,America/Denver,BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,Maryland,US,39.17572833,-76.66899111,America/New_York,8.287276755814599
