activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,549300FNXYY540N23N64,14454,MA,25023,25023511200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,4,0,2,1,1,1,2,2,2,445000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,90,NA,9,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,2,1,2,2,35-44,45-54,No,No,2,1,1,2,1,2,,10,,,,5322,68.88,136200,69,880,1467,58
2024,549300FNXYY540N23N64,14454,MA,25021,25021416300,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Male,1,5,2,1,1,1,2,2,2,1045000.0,75,6.25,0.201,2,9798.09,NA,3368.93,,140.18,360,NA,NA,2,2,2,2,1395000,1,1,3,5,1,NA,429,41,9,1,2,,,,,2,,,,,2,2,3,,,,,5,,,,,2,2,1,1,2,2,35-44,65-74,No,Yes,2,1,1,1,1,1,1,10,,,,5005,29.39,136200,166,1223,1480,0
2024,549300FNXYY540N23N64,14454,MA,25025,25025000601,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,3,2,1,1,1,2,2,1,905000.0,60,7,0.291,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,1505000,1,3,3,5,2,NA,221,45,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,45-54,9999,No,NA,2,1,1,2,1,2,1,10,,,,3758,37.92,136200,113,446,821,66
2024,549300FNXYY540N23N64,14454,MA,25021,25021417202,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,3,2,1,1,1,2,2,2,305000.0,36.676,6.5,1.027,2,7419.58,NA,4849,,7641.48,180,NA,NA,2,2,2,2,835000,1,1,3,5,1,NA,188,20%-<30%,2,9,2,,,,,2,,,,,2,2,2,22,,,,2,22,,,,2,2,1,2,2,2,25-34,45-54,No,No,2,1,1,2,1,2,1,10,,,,4059,58.34,136200,0,856,1215,0
2024,549300FNXYY540N23N64,14454,MA,25023,25023530902,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,1,2,1,1,1,2,2,2,355000.0,94.667,5.625,0.076,2,9907.4,NA,7119.2,6120.2,,360,NA,NA,2,2,2,2,375000,1,1,3,5,1,NA,70,49,3,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,1,1,1,1,1,10,,,,4512,8.62,136200,105,1601,1797,36
2024,549300FNXYY540N23N64,14454,MA,25021,25021456301,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,3,2,1,1,1,2,2,2,515000.0,80,7.125,0.576,2,11640.7,NA,8028,,11234.85,360,NA,NA,2,2,2,2,635000,1,1,3,5,1,NA,160,40,9,2,2,,,,,2,,,,,2,2,2,22,,,,5,,,,,2,2,1,2,2,2,45-54,35-44,No,No,2,1,1,2,1,2,1,10,,,,2017,55.88,136200,65,492,659,69
2024,549300FNXYY540N23N64,14454,MA,25025,25025092000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,1,2,1,1,1,2,2,2,585000.0,80,6.625,-0.056,2,11112.46,NA,7767.6,6768.6,,360,NA,NA,2,2,2,2,725000,1,1,3,5,1,NA,147,48,3,9,2,,,,,2,,,,,2,2,2,26,,,,2,26,,,,2,2,2,1,2,2,25-34,25-34,No,No,2,1,1,2,1,2,1,10,,,,5180,92.22,136200,58,624,1570,0
2024,549300FNXYY540N23N64,14454,MA,25023,25023502102,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,2,1,1,1,2,2,2,755000.0,95,7,1.073,2,7163.33,NA,1505.02,506.02,,360,NA,NA,2,2,2,2,795000,1,1,3,5,3,NA,192,39,1,10,1,14,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,1,1,1,1,1,10,,,,5644,17.04,136200,94,1599,1776,42
2024,549300FNXYY540N23N64,14454,MA,25021,25021419400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,3,2,1,1,1,2,2,2,215000.0,37.169,6.625,-0.007,2,4399.68,NA,2187.6,1188.6,,360,NA,NA,2,2,2,2,565000,1,1,3,5,1,NA,51,46,3,10,2,,,,,5,,,,,2,4,2,22,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,2,2,2,2,2,10,,,,3211,30.02,136200,101,803,1170,0
2024,549300FNXYY540N23N64,14454,MA,25023,25023524101,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,3,2,1,1,1,2,2,2,605000.0,95,6.5,0.554,2,16272,NA,13159,,9843.52,360,NA,NA,2,2,2,2,645000,1,1,3,5,1,NA,138,41,1,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,1,2,2,2,25-34,35-44,No,No,2,1,2,2,2,2,1,10,,,,3381,14.05,136200,120,913,1044,54
