"(1.53284559421837, 0.00000000000000)"
"(1.51666302710812, 0.00000000000000)"
"(3.40104583680304, 0.00000000000000)"
"(0.489993219368752, 0.00000000000000)"
"(1.83216843360909, 0.00000000000000)"
"(0.323296829698982, 0.00000000000000)"
"(2.65355270001081, 0.00000000000000)"
"(4.87851509118638, 0.00000000000000)"
"(4.99361216986385, 0.00000000000000)"
"(3.80732934598026, 0.00000000000000)"
"(0.923869135085302, 0.00000000000000)"
"(1.06391832267748, 0.00000000000000)"
"(3.43205270497746, 0.00000000000000)"
"(3.04480423098431, 0.00000000000000)"
"(1.67869261913702, 0.00000000000000)"
"(2.08938642848250, 0.00000000000000)"
"(1.08348756774470, 0.00000000000000)"
"(3.67267028030364, 0.00000000000000)"
"(4.20243299070723, 0.00000000000000)"
"(0.816339765636558, 0.00000000000000)"
"(2.08542697450971, 0.00000000000000)"
"(1.31793542232363, 0.00000000000000)"
"(1.98062166536281, 0.00000000000000)"
"(3.89833311173782, 0.00000000000000)"
"(0.900561163849631, 0.00000000000000)"
"(3.35844099678492, 0.00000000000000)"
"(4.85119817706777, 0.00000000000000)"
"(2.14615895013255, 0.00000000000000)"
"(0.00385128399259139, 0.00000000000000)"
"(2.20889098286975, 0.00000000000000)"
"(0.958370904885142, 0.00000000000000)"
"(4.75562177125518, 0.00000000000000)"
"(1.59010732336992, 0.00000000000000)"
"(3.20174466041634, 0.00000000000000)"
"(4.02129156606925, 0.00000000000000)"
"(2.51105265242282, 0.00000000000000)"
"(4.62727643701035, 0.00000000000000)"
"(3.78981305723037, 0.00000000000000)"
"(2.93856790145369, 0.00000000000000)"
"(1.00048267726098, 0.00000000000000)"
"(2.98008410621380, 0.00000000000000)"
"(0.235869262710136, 0.00000000000000)"
"(4.28968241300899, 0.00000000000000)"
"(4.08249488253401, 0.00000000000000)"
"(4.25932980260739, 0.00000000000000)"
"(3.17431627565706, 0.00000000000000)"
"(3.86566945316375, 0.00000000000000)"
"(4.46394718641900, 1.00000000000000)"
"(4.44380906203980, 1.00000000000000)"
"(4.37697788013261, 1.00000000000000)"
"(7.76889994924455, 1.00000000000000)"
"(7.31598490387467, 1.00000000000000)"
"(5.17312918397104, 1.00000000000000)"
"(6.29795175189502, 1.00000000000000)"
"(4.29295336078755, 1.00000000000000)"
"(4.68152894401610, 1.00000000000000)"
"(7.11640716632133, 1.00000000000000)"
"(6.05597293493563, 1.00000000000000)"
"(5.08789856342918, 1.00000000000000)"
"(7.33939797688013, 1.00000000000000)"
"(6.87730281321105, 1.00000000000000)"
"(5.82704697226190, 1.00000000000000)"
"(5.29412266874071, 1.00000000000000)"
"(3.93239742356277, 1.00000000000000)"
"(5.44936988833624, 1.00000000000000)"
"(7.70348991562481, 1.00000000000000)"
"(6.22962478048111, 1.00000000000000)"
"(8.38269226586266, 1.00000000000000)"
"(7.37227610703347, 1.00000000000000)"
"(4.70960604741842, 1.00000000000000)"
"(4.35673428130474, 1.00000000000000)"
"(5.88401655760615, 1.00000000000000)"
"(7.15752629539220, 1.00000000000000)"
"(5.03935794507250, 1.00000000000000)"
"(6.86136417220023, 1.00000000000000)"
"(6.29838687789555, 1.00000000000000)"
"(3.71687069724852, 1.00000000000000)"
"(8.45356105936194, 1.00000000000000)"
"(7.36362772592096, 1.00000000000000)"
"(7.63752539463081, 1.00000000000000)"
"(5.54318744573276, 1.00000000000000)"
"(8.01729658193784, 1.00000000000000)"
"(8.31087526021118, 1.00000000000000)"
"(8.19298896539916, 1.00000000000000)"
"(4.69147419009930, 1.00000000000000)"
"(4.13265154124699, 1.00000000000000)"
"(5.41768265821303, 1.00000000000000)"
"(3.79403805525887, 1.00000000000000)"
"(6.18669187763773, 1.00000000000000)"
"(6.12755894697114, 1.00000000000000)"
"(4.11205203615783, 1.00000000000000)"
"(6.61856856148081, 1.00000000000000)"
"(6.34554840257775, 1.00000000000000)"
"(4.49842444426678, 1.00000000000000)"
