round_num,round_name,winning_team,winning_seed,winning_score,losing_team,losing_seed,losing_score
1,First Round,Texas Tech,5,91,Akron,12,71
3,Sweet 16,Michigan,1,90,Alabama,4,77
5,Final Four,Michigan,1,91,Arizona,1,73
3,Sweet 16,Arizona,1,109,Arkansas,4,88
1,First Round,Texas,11,79,BYU,6,71
1,First Round,Kansas,4,68,Cal Baptist,13,60
1,First Round,Iowa,9,67,Clemson,8,61
4,Elite Eight,Connecticut,2,73,Duke,1,72
2,Second Round,Iowa,9,73,Florida,1,72
1,First Round,Connecticut,2,82,Furman,15,71
1,First Round,St Louis,9,102,Georgia,8,77
2,Second Round,Texas,11,74,Gonzaga,3,68
1,First Round,Arkansas,4,97,Hawaii,13,78
2,Second Round,Arkansas,4,94,High Point,12,88
1,First Round,Alabama,4,90,Hofstra,13,70
3,Sweet 16,Illinois,3,65,Houston,2,55
1,First Round,Michigan,1,101,Howard,16,80
1,First Round,Houston,2,78,Idaho,15,47
5,Final Four,Connecticut,2,71,Illinois,3,62
4,Elite Eight,Illinois,3,71,Iowa,9,59
3,Sweet 16,Tennessee,6,76,Iowa St,2,62
2,Second Round,St John's,5,67,Kansas,4,65
1,First Round,Gonzaga,3,73,Kennesaw ,14,64
2,Second Round,Iowa St,2,82,Kentucky,7,63
0,First Four,Prairie View ,16,67,Lehigh,16,55
1,First Round,Arizona,1,92,LIU Brooklyn,16,58
2,Second Round,Michigan St,3,77,Louisville,6,69
1,First Round,Vanderbilt,5,78,McNeese St,12,68
2,Second Round,Purdue,2,79,Miami FL,7,69
1,First Round,Tennessee,6,78,Miami OH,11,56
3,Sweet 16,Connecticut,2,67,Michigan St,3,63
1,First Round,Miami FL,7,80,Missouri,10,66
0,First Four,Texas,11,68,NC State,11,66
3,Sweet 16,Iowa,9,77,Nebraska,4,71
1,First Round,VCU,11,82,North Carolina,6,78
1,First Round,Michigan St,3,92,North Dakota,14,67
1,First Round,TCU,9,66,Ohio St,8,64
1,First Round,Illinois,3,105,Penn,14,70
1,First Round,Florida,1,114,Prairie View,16,55
4,Elite Eight,Arizona,1,79,Purdue,2,64
1,First Round,Purdue,2,104,Queens,15,71
2,Second Round,Michigan,1,95,St Louis,9,72
1,First Round,Texas A&M,10,63,St Mary's CA,7,50
1,First Round,Kentucky,7,89,Santa Clara,10,84
1,First Round,Duke,1,71,Siena,16,65
0,First Four,Miami OH,11,89,SMU,11,79
1,First Round,Louisville,6,83,South Florida,11,79
3,Sweet 16,Duke,1,80,St. John's,5,75
2,Second Round,Duke,1,81,TCU,9,58
4,Elite Eight,Michigan,1,95,Tennessee,6,62
1,First Round,Iowa St,2,108,Tennessee St,15,74
3,Sweet 16,Purdue,2,79,Texas,11,77
2,Second Round,Houston,2,88,Texas A&M,10,57
2,Second Round,Alabama,4,90,Texas Tech,5,65
1,First Round,Nebraska,4,76,Troy,13,47
1,First Round,UCLA,7,75,UCF,10,71
2,Second Round,Connecticut,2,73,UCLA,7,57
6,National Championship,Michigan,1,69,Connecticut,2,63
0,First Four,Howard,16,86,UMBC,16,83
1,First Round,St John's,5,79,UNI,12,53
2,Second Round,Arizona,1,78,Utah St,9,66
2,Second Round,Nebraska,4,74,Vanderbilt,5,72
2,Second Round,Illinois,3,76,VCU,11,55
1,First Round,Utah St,9,86,Villanova,8,76
2,Second Round,Tennessee,6,79,Virginia,3,72
1,First Round,High Point,12,83,Wisconsin,5,82
1,First Round,Virginia,3,82,Wright St,14,73
