player_id,game_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
8465009,137293396294,408,85724,9,5,86,78.0,0,0,60,0,0,26.0,52.0,0,0,101.0,26,72546,12962,216
8466138,141331437534,1960,65102,24,7,76,20.0,3,5,34,323,654,55.0,30.0,0,0,29.0,-19,56360,19,8723
8466139,133255357423,1664,61686,11,11,117,57.0,1,0,14,36,76,29.0,15.0,0,0,24.0,-5,54777,1046,5863
8468493,129217315059,576,79418,11,1,43,51.0,0,0,12,0,0,9.0,56.0,0,3,102.0,10,65981,12370,1067
8468508,40380418314,240,16339,3,8,60,20.0,2,1,6,3,10,3.0,13.0,0,0,7.0,2,13304,71,2964
8468674,98932000007,2646,51630,5,1,59,114.0,0,0,37,0,0,15.0,17.0,0,1,86.0,5,41519,10075,36
8469454,92874947091,723,46817,16,10,115,52.0,2,3,18,8,24,11.0,25.0,0,0,23.0,-4,39984,9,6824
8469455,117103194645,580,37685,16,9,73,13.0,2,5,18,215,398,20.0,33.0,0,0,19.0,-3,33426,178,4081
8469459,111046129523,1650,51381,17,4,74,25.0,1,6,28,431,811,29.0,13.0,0,1,33.0,2,40523,5447,5411
8469465,121141231615,1080,52249,8,0,44,64.0,0,0,35,0,0,9.0,34.0,0,0,53.0,6,43642,8554,53
8470047,141331437406,1190,69772,15,6,63,28.0,1,4,24,324,722,17.0,43.0,1,0,31.0,-42,54655,7172,7945
8470110,86817886483,731,40396,7,0,37,9.0,0,2,20,0,0,5.0,21.0,0,0,44.0,-22,36766,1643,1987
8470144,121141232171,1020,49260,5,4,86,44.0,0,2,8,210,456,11.0,15.0,1,1,35.0,-13,39214,6320,3726
8470151,113065143844,1064,72482,8,1,53,42.0,0,0,20,0,0,11.0,32.0,0,1,68.0,5,63512,8859,111
8470187,129217314305,128,66376,9,2,96,135.0,1,0,14,0,0,6.0,50.0,0,0,128.0,-11,58131,7921,324
8470257,111046132354,1045,46326,10,7,71,26.0,0,1,12,8,15,16.0,12.0,0,0,47.0,6,37784,7668,874
8470281,123160254435,976,89251,24,3,111,26.0,2,9,18,0,0,42.0,74.0,0,0,117.0,1,70889,10011,8351
8470318,36342372088,306,15386,0,0,16,24.0,0,0,4,0,0,1.0,20.0,0,0,14.0,-12,13714,1660,12
8470595,133255354169,1980,67853,28,19,113,24.0,5,9,28,495,999,25.0,46.0,0,0,22.0,-9,56096,1080,10677
8470600,139312417326,2070,102009,40,8,111,48.0,2,16,12,0,0,19.0,27.0,0,0,93.0,-6,79983,10007,12019
8470601,80760822546,560,33730,3,1,44,59.0,0,0,16,0,0,3.0,5.0,0,0,28.0,5,31564,2020,146
8470604,121141227596,1560,60894,10,17,182,66.0,3,2,36,382,746,13.0,20.0,0,0,23.0,-21,49322,4967,6605
8470606,133255355236,1716,72890,18,17,169,143.0,1,4,22,7,16,28.0,35.0,0,0,15.0,-1,60302,2666,9922
8470607,64608649246,512,34846,1,3,40,52.0,1,0,8,0,0,3.0,27.0,0,0,61.0,1,30536,2932,1378
8470610,139312417326,2070,71195,21,25,155,27.0,12,6,8,41,77,21.0,22.0,1,0,38.0,-11,56027,3735,11433
8470612,139312417782,1656,77512,29,13,143,125.0,3,6,58,530,1034,53.0,76.0,0,0,69.0,-16,64515,2906,10091
8470613,141331437534,1960,106726,33,12,225,72.0,5,12,34,0,0,49.0,76.0,0,1,115.0,-22,84716,10388,11622
8470619,78741797595,507,28958,9,6,56,65.0,1,0,17,197,376,16.0,13.0,0,0,34.0,-5,25678,1205,2075
8470621,115084172868,1425,46936,16,5,77,60.0,1,6,70,4,10,17.0,26.0,0,0,33.0,-2,39577,52,7307
8470626,98932010606,1127,36374,7,6,59,10.0,0,0,12,2,2,17.0,8.0,0,0,15.0,-2,31962,4198,214
8470638,123160254044,366,68536,25,31,203,46.0,11,9,28,759,1311,44.0,22.0,1,0,46.0,23,49018,6283,13235
8470642,131236333312,520,93630,21,15,185,112.0,3,5,33,0,0,18.0,79.0,0,0,114.0,8,72579,12600,8451
8470655,44418451161,240,12406,5,1,34,38.0,1,0,22,27,71,5.0,9.0,0,0,8.0,-1,11888,134,384
8470755,119122212498,3127,48307,5,6,76,77.0,0,0,20,355,658,12.0,18.0,1,1,44.0,1,39101,9074,132
8470775,141331437648,532,53716,11,4,67,118.0,0,0,30,433,787,25.0,33.0,0,1,50.0,-1,44089,9378,249
8470794,135274374854,1675,68063,17,14,125,62.0,6,5,29,351,652,38.0,27.0,0,1,52.0,6,54292,3187,10584
8470966,121141227548,1200,86011,26,5,157,42.0,2,9,34,0,0,36.0,51.0,0,2,148.0,2,66560,9832,9619
8471214,137293395397,1020,84311,19,48,311,184.0,13,5,30,1,1,28.0,48.0,0,0,30.0,-12,64287,72,19952
8471215,111046134350,275,64420,49,25,171,38.0,7,17,58,441,876,70.0,69.0,0,0,22.0,7,52144,90,12186
8471217,8076083640,8,2871,0,1,5,23.0,0,0,4,0,0,0.0,1.0,0,0,0.0,2,2809,0,62
8471218,143350458511,3692,82300,43,22,180,102.0,4,18,37,324,652,37.0,46.0,1,1,51.0,1,65639,2776,13885
8471228,121141229378,1500,60271,19,15,132,48.0,7,3,46,4,14,26.0,44.0,0,0,42.0,8,51126,28,9117
8471233,139312418173,69,70776,16,9,72,58.0,1,0,28,576,1090,36.0,17.0,1,2,39.0,-12,56556,11825,2395
8471242,100951023990,860,62631,8,3,76,61.0,1,3,32,0,0,12.0,41.0,0,0,66.0,-34,55233,362,7036
8471260,111046135150,1375,49302,8,8,74,107.0,0,0,36,42,96,21.0,27.0,1,1,24.0,-6,41983,6809,510
8471262,141331436985,3710,66765,18,17,135,77.0,6,5,18,245,541,28.0,24.0,0,0,41.0,6,53825,3880,9060
8471274,141331436985,3710,96839,28,4,101,91.0,2,9,24,0,0,7.0,53.0,0,0,134.0,8,78831,9918,8090
8471276,123160254756,366,62856,30,13,83,37.0,3,11,23,371,737,31.0,37.0,0,0,32.0,14,55901,179,6776
8471284,115084168731,1425,61564,6,2,63,34.0,0,0,14,0,0,8.0,50.0,1,0,75.0,9,53722,7572,270
8471303,119122212127,1357,80065,28,5,118,108.0,1,6,62,0,0,9.0,43.0,0,0,162.0,14,64933,10909,4223
8471392,82779845623,1025,40992,4,0,34,104.0,0,0,24,0,0,4.0,22.0,0,0,94.0,-6,34120,6840,32
8471426,26247266833,247,7385,0,1,12,24.0,0,0,7,1,2,1.0,2.0,0,0,6.0,1,7283,79,23
8471669,143350457489,3834,72946,21,17,136,63.0,5,5,24,624,1139,41.0,18.0,0,1,32.0,7,58416,4663,9867
8471675,82779843756,205,49855,31,16,109,28.0,4,13,15,494,888,26.0,25.0,0,0,17.0,-8,39675,707,9473
8471676,48456490718,216,19465,3,5,43,41.0,0,0,22,3,5,12.0,18.0,0,0,13.0,3,15885,8,3572
8471677,135274376939,335,78248,8,3,63,183.0,0,0,26,0,0,15.0,23.0,1,0,97.0,-1,69114,8862,272
8471685,141331437704,1820,88368,41,21,135,49.0,7,14,16,776,1407,39.0,49.0,1,0,56.0,6,68739,7522,12107
8471686,104989072990,156,55043,9,2,46,69.0,0,0,16,0,0,19.0,34.0,0,0,76.0,5,46355,8513,175
8471698,139312416165,1035,75740,23,26,133,90.0,10,2,26,119,238,42.0,45.0,0,0,58.0,4,60298,613,14829
8471699,137293396317,1700,50886,11,3,68,86.0,0,0,30,17,37,24.0,20.0,0,0,31.0,2,44513,5971,402
8471702,137293396948,272,89372,25,8,126,124.0,4,9,29,0,0,14.0,56.0,1,0,84.0,15,70283,10723,8366
8471707,111046123729,1210,53814,12,19,112,88.0,12,5,12,11,31,24.0,29.0,0,0,17.0,-20,44208,76,9530
8471709,141331437534,1960,85238,10,5,74,37.0,0,0,10,0,0,18.0,40.0,1,0,97.0,-10,72364,11754,1120
8471716,98932007261,833,33909,3,0,40,103.0,0,0,25,38,69,10.0,18.0,0,0,26.0,-14,29056,3425,1428
8471724,123160255074,305,94155,29,15,177,101.0,6,9,38,0,0,31.0,80.0,0,0,91.0,0,73238,8058,12859
8471729,111046124258,1210,55373,9,0,45,71.0,0,0,14,0,0,31.0,38.0,0,1,101.0,0,47682,7655,36
8471735,139312417630,897,81544,40,5,129,18.0,2,19,20,0,1,25.0,66.0,0,0,51.0,0,65971,231,15342
8471743,32304321840,112,13695,2,1,23,26.0,0,0,4,39,70,3.0,3.0,0,0,7.0,2,12090,1600,5
8471769,54513560338,1431,30396,4,1,18,20.0,0,0,14,0,0,11.0,20.0,0,1,45.0,-2,26039,4319,38
8471794,137293395980,1156,56032,7,9,102,88.0,0,0,37,15,28,24.0,30.0,1,1,26.0,-6,49107,6786,139
8471804,60570623505,870,24756,6,4,55,46.0,0,0,22,6,12,4.0,12.0,0,0,8.0,-7,23481,720,555
8471817,143350457489,3834,43221,7,8,61,316.0,0,0,47,24,52,17.0,7.0,0,0,24.0,-6,42184,2,1035
8471873,139312417630,897,87211,14,5,89,68.0,0,0,14,0,0,40.0,48.0,0,1,96.0,-6,76540,10316,355
8471887,104989070492,260,49708,15,17,168,107.0,3,4,36,2,6,12.0,8.0,0,0,41.0,9,39265,8,10435
8472382,127198295885,73,73885,12,2,60,30.0,0,1,16,0,0,16.0,41.0,0,2,155.0,1,61663,12120,102
8473412,14133141269,364,6783,3,2,13,3.0,0,0,2,48,106,2.0,2.0,0,0,3.0,4,5565,564,654
8473415,98932012191,833,48278,3,0,55,115.0,0,0,24,0,0,4.0,30.0,0,0,46.0,-9,43147,5059,72
8473419,141331437543,420,81699,59,28,185,55.0,5,23,82,22,51,43.0,71.0,1,2,19.0,25,59529,6666,15504
8473422,135274377163,1943,75044,21,10,131,212.0,2,2,62,159,319,39.0,35.0,0,1,50.0,-3,61350,6016,7678
8473446,119122213882,1239,74505,13,3,99,97.0,0,0,20,0,0,32.0,27.0,0,0,115.0,9,62507,10666,1332
8473449,104989067391,364,40084,10,9,82,55.0,1,0,28,38,71,15.0,13.0,0,0,15.0,-3,37668,303,2113
8473453,113065151275,1456,40022,6,6,92,68.0,0,0,16,45,116,11.0,14.0,0,0,22.0,-7,37011,2794,217
8473463,96912990218,96,36278,10,4,46,123.0,0,0,10,34,86,13.0,16.0,0,1,29.0,2,32197,3999,82
8473473,137293396115,1360,54397,12,8,83,198.0,5,3,54,20,46,19.0,42.0,0,0,20.0,-6,48127,36,6234
8473485,32304325469,64,7469,1,0,5,35.0,0,0,21,0,0,3.0,1.0,0,0,4.0,-7,7423,23,23
8473504,74703753291,74,29803,4,3,35,127.0,0,0,22,4,9,12.0,21.0,1,1,38.0,6,24757,4949,97
