,player_id,game_id,team_id,timeOnIce_x,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce,timeOnIce_y,firstName,lastName,nationality,primaryPosition,birthDate,height_cm,weight,shootsCatches
0,8465009,1.37293E+11,408,85724,9,5,86,78,0,0,60,0,0,26,52,0,0,101,26,72546,12962,216,68,Zdeno,Chara,SVK,D,3/18/77 0:00,205.74,250,L
1,8466138,1.41331E+11,1960,65102,24,7,76,20,3,5,34,323,654,55,30,0,0,29,-19,56360,19,8723,70,Joe,Thornton,CAN,C,7/2/79 1:00,193.04,220,L
2,8466139,1.33255E+11,1664,61686,11,11,117,57,1,0,14,36,76,29,15,0,0,24,-5,54777,1046,5863,66,Patrick,Marleau,CAN,C,9/15/79 1:00,187.96,215,L
3,8468493,1.29217E+11,576,79418,11,1,43,51,0,0,12,0,0,9,56,0,3,102,10,65981,12370,1067,64,Ron,Hainsey,USA,D,3/24/81 0:00,190.5,210,L
4,8468508,40380418314,240,16339,3,8,60,20,2,1,6,3,10,3,13,0,0,7,2,13304,71,2964,20,Justin,Williams,CAN,RW,10/4/81 1:00,185.42,188,R
5,8468674,98932000007,2646,51630,5,1,59,114,0,0,37,0,0,15,17,0,1,86,5,41519,10075,36,49,Deryk,Engelland,CAN,D,4/3/82 1:00,187.96,214,R
6,8469454,92874947091,723,46817,16,10,115,52,2,3,18,8,24,11,25,0,0,23,-4,39984,9,6824,46,Ilya,Kovalchuk,RUS,RW,4/15/83 1:00,190.5,230,R
7,8469455,1.17103E+11,580,37685,16,9,73,13,2,5,18,215,398,20,33,0,0,19,-3,33426,178,4081,58,Jason,Spezza,CAN,C,6/13/83 1:00,190.5,214,R
8,8469459,1.11046E+11,1650,51381,17,4,74,25,1,6,28,431,811,29,13,0,1,33,2,40523,5447,5411,55,Mikko,Koivu,FIN,C,3/12/83 0:00,190.5,215,L
9,8469465,1.21141E+11,1080,52249,8,0,44,64,0,0,35,0,0,9,34,0,0,53,6,43642,8554,53,60,Dan,Hamhuis,CAN,D,12/13/82 0:00,185.42,204,L
10,8470047,1.41331E+11,1190,69772,15,6,63,28,1,4,24,324,722,17,43,1,0,31,-42,54655,7172,7945,70,Valtteri,Filppula,FIN,C,3/20/84 0:00,182.88,196,L
11,8470110,86817886483,731,40396,7,0,37,9,0,2,20,0,0,5,21,0,0,44,-22,36766,1643,1987,43,Trevor,Daley,CAN,D,10/9/83 1:00,180.34,195,L
12,8470144,1.21141E+11,1020,49260,5,4,86,44,0,2,8,210,456,11,15,1,1,35,-13,39214,6320,3726,60,Frans,Nielsen,DNK,C,4/24/84 1:00,185.42,188,L
13,8470151,1.13065E+11,1064,72482,8,1,53,42,0,0,20,0,0,11,32,0,1,68,5,63512,8859,111,56,Jay,Bouwmeester,CAN,D,9/27/83 1:00,193.04,206,L
14,8470187,1.29217E+11,128,66376,9,2,96,135,1,0,14,0,0,6,50,0,0,128,-11,58131,7921,324,64,Johnny,Boychuk,CAN,D,1/19/84 0:00,187.96,227,R
15,8470257,1.11046E+11,1045,46326,10,7,71,26,0,1,12,8,15,16,12,0,0,47,6,37784,7668,874,55,Alexander,Steen,SWE,LW,3/1/84 0:00,182.88,211,L
16,8470281,1.2316E+11,976,89251,24,3,111,26,2,9,18,0,0,42,74,0,0,117,1,70889,10011,8351,61,Duncan,Keith,CAN,D,7/16/83 1:00,185.42,192,L
17,8470318,36342372088,306,15386,0,0,16,24,0,0,4,0,0,1,20,0,0,14,-12,13714,1660,12,18,Jonathan,Ericsson,SWE,D,3/2/84 0:00,193.04,220,L
18,8470595,1.33255E+11,1980,67853,28,19,113,24,5,9,28,495,999,25,46,0,0,22,-9,56096,1080,10677,66,Eric,Staal,CAN,C,10/29/84 0:00,193.04,208,L
19,8470600,1.39312E+11,2070,102009,40,8,111,48,2,16,12,0,0,19,27,0,0,93,-6,79983,10007,12019,69,Ryan,Suter,USA,D,1/21/85 0:00,187.96,202,L
20,8470601,80760822546,560,33730,3,1,44,59,0,0,16,0,0,3,5,0,0,28,5,31564,2020,146,40,Braydon,Coburn,CAN,D,2/27/85 0:00,195.58,223,L
21,8470604,1.21141E+11,1560,60894,10,17,182,66,3,2,36,382,746,13,20,0,0,23,-21,49322,4967,6605,60,Jeff,Carter,CAN,C,1/1/85 0:00,190.5,217,R
22,8470606,1.33255E+11,1716,72890,18,17,169,143,1,4,22,7,16,28,35,0,0,15,-1,60302,2666,9922,66,Dustin,Brown,USA,RW,11/4/84 0:00,182.88,216,R
23,8470607,64608649246,512,34846,1,3,40,52,1,0,8,0,0,3,27,0,0,61,1,30536,2932,1378,32,Brent,Seabrook,CAN,D,4/20/85 1:00,190.5,220,R
24,8470610,1.39312E+11,2070,71195,21,25,155,27,12,6,8,41,77,21,22,1,0,38,-11,56027,3735,11433,69,Zach,Parise,USA,LW,7/28/84 1:00,180.34,195,L
25,8470612,1.39312E+11,1656,77512,29,13,143,125,3,6,58,530,1034,53,76,0,0,69,-16,64515,2906,10091,69,Ryan,Getzlaf,CAN,C,5/10/85 1:00,193.04,223,R
26,8470613,1.41331E+11,1960,106726,33,12,225,72,5,12,34,0,0,49,76,0,1,115,-22,84716,10388,11622,70,Brent,Burns,CAN,D,3/9/85 0:00,195.58,230,R
27,8470619,78741797595,507,28958,9,6,56,65,1,0,17,197,376,16,13,0,0,34,-5,25678,1205,2075,39,Brian,Boyle,USA,C,12/18/84 0:00,198.12,245,L
28,8470621,1.15084E+11,1425,46936,16,5,77,60,1,6,70,4,10,17,26,0,0,33,-2,39577,52,7307,57,Corey,Perry,CAN,RW,5/16/85 1:00,190.5,213,R
29,8470626,98932010606,1127,36374,7,6,59,10,0,0,12,2,2,17,8,0,0,15,-2,31962,4198,214,49,Loui,Eriksson,SWE,LW,7/17/85 1:00,187.96,196,L
30,8470638,1.2316E+11,366,68536,25,31,203,46,11,9,28,759,1311,44,22,1,0,46,23,49018,6283,13235,61,Patrice,Bergeron,CAN,C,7/24/85 1:00,185.42,195,R
31,8470642,1.31236E+11,520,93630,21,15,185,112,3,5,33,0,0,18,79,0,0,114,8,72579,12600,8451,65,Shea,Weber,CAN,D,8/14/85 1:00,193.04,230,R
32,8470655,44418451161,240,12406,5,1,34,38,1,0,22,27,71,5,9,0,0,8,-1,11888,134,384,22,David,Backes,USA,RW,5/1/84 1:00,190.5,221,R
33,8470755,1.19122E+11,3127,48307,5,6,76,77,0,0,20,355,658,12,18,1,1,44,1,39101,9074,132,59,Brad,Richardson,CAN,C,2/4/85 0:00,182.88,190,L
34,8470775,1.41331E+11,532,53716,11,4,67,118,0,0,30,433,787,25,33,0,1,50,-1,44089,9378,249,70,Nate,Thompson,USA,C,10/5/84 1:00,182.88,212,L
35,8470794,1.35274E+11,1675,68063,17,14,125,62,6,5,29,351,652,38,27,0,1,52,6,54292,3187,10584,67,Joe,Pavelski,USA,C,7/11/84 1:00,180.34,195,R
36,8470966,1.21141E+11,1200,86011,26,5,157,42,2,9,34,0,0,36,51,0,2,148,2,66560,9832,9619,60,Mark,Giordano,CAN,D,10/3/83 1:00,182.88,198,L
37,8471214,1.37293E+11,1020,84311,19,48,311,184,13,5,30,1,1,28,48,0,0,30,-12,64287,72,19952,68,Alex,Ovechkin,RUS,LW,9/17/85 1:00,190.5,235,R
38,8471215,1.11046E+11,275,64420,49,25,171,38,7,17,58,441,876,70,69,0,0,22,7,52144,90,12186,55,Evgeni,Malkin,RUS,C,7/31/86 1:00,190.5,195,L
39,8471217,8076083640,8,2871,0,1,5,23,0,0,4,0,0,0,1,0,0,0,2,2809,0,62,4,Andrew,Ladd,CAN,LW,12/12/85 0:00,190.5,200,L
40,8471218,1.4335E+11,3692,82300,43,22,180,102,4,18,37,324,652,37,46,1,1,51,1,65639,2776,13885,71,Blake,Wheeler,USA,RW,8/31/86 1:00,195.58,225,R
41,8471228,1.21141E+11,1500,60271,19,15,132,48,7,3,46,4,14,26,44,0,0,42,8,51126,28,9117,60,Alexander,Radulov,RUS,RW,7/5/86 1:00,185.42,201,L
42,8471233,1.39312E+11,69,70776,16,9,72,58,1,0,28,576,1090,36,17,1,2,39,-12,56556,11825,2395,69,Travis,Zajac,CAN,C,5/13/85 1:00,187.96,185,R
43,8471242,1.00951E+11,860,62631,8,3,76,61,1,3,32,0,0,12,41,0,0,66,-34,55233,362,7036,50,Mike,Green,CAN,D,10/12/85 1:00,185.42,207,R
44,8471260,1.11046E+11,1375,49302,8,8,74,107,0,0,36,42,96,21,27,1,1,24,-6,41983,6809,510,55,Blake,Comeau,CAN,LW,2/18/86 0:00,185.42,202,R
45,8471262,1.41331E+11,3710,66765,18,17,135,77,6,5,18,245,541,28,24,0,0,41,6,53825,3880,9060,70,Carl,Soderberg,SWE,C,10/12/85 1:00,190.5,210,L
46,8471274,1.41331E+11,3710,96839,28,4,101,91,2,9,24,0,0,7,53,0,0,134,8,78831,9918,8090,70,Alex,Goligoski,USA,D,7/30/85 1:00,180.34,185,L
47,8471276,1.2316E+11,366,62856,30,13,83,37,3,11,23,371,737,31,37,0,0,32,14,55901,179,6776,61,David,Krejci,CZE,C,4/28/86 1:00,182.88,186,R
48,8471284,1.15084E+11,1425,61564,6,2,63,34,0,0,14,0,0,8,50,1,0,75,9,53722,7572,270,57,Andrej,Sekera,SVK,D,6/8/86 1:00,182.88,200,L
49,8471303,1.19122E+11,1357,80065,28,5,118,108,1,6,62,0,0,9,43,0,0,162,14,64933,10909,4223,59,Alexander,Edler,SWE,D,4/21/86 1:00,190.5,214,L
50,8471392,82779845623,1025,40992,4,0,34,104,0,0,24,0,0,4,22,0,0,94,-6,34120,6840,32,41,Roman,Polak,CZE,D,4/28/86 1:00,187.96,235,R
51,8471426,26247266833,247,7385,0,1,12,24,0,0,7,1,2,1,2,0,0,6,1,7283,79,23,13,Troy,Brouwer,CAN,RW,8/17/85 1:00,190.5,215,R
52,8471669,1.4335E+11,3834,72946,21,17,136,63,5,5,24,624,1139,41,18,0,1,32,7,58416,4663,9867,71,Paul,Stastny,USA,C,12/27/85 0:00,182.88,193,L
53,8471675,82779843756,205,49855,31,16,109,28,4,13,15,494,888,26,25,0,0,17,-8,39675,707,9473,41,Sidney,Crosby,CAN,C,8/7/87 1:00,180.34,200,L
54,8471676,48456490718,216,19465,3,5,43,41,0,0,22,3,5,12,18,0,0,13,3,15885,8,3572,24,Bobby,Ryan,USA,RW,3/17/87 0:00,187.96,209,R
55,8471677,1.35274E+11,335,78248,8,3,63,183,0,0,26,0,0,15,23,1,0,97,-1,69114,8862,272,67,Jack,Johnson,USA,D,1/13/87 0:00,185.42,227,L
56,8471685,1.41331E+11,1820,88368,41,21,135,49,7,14,16,776,1407,39,49,1,0,56,6,68739,7522,12107,70,Anze,Kopitar,SVN,C,8/24/87 1:00,190.5,224,L
57,8471686,1.04989E+11,156,55043,9,2,46,69,0,0,16,0,0,19,34,0,0,76,5,46355,8513,175,52,Marc,Staal,CAN,D,1/13/87 0:00,193.04,209,L
58,8471698,1.39312E+11,1035,75740,23,26,133,90,10,2,26,119,238,42,45,0,0,58,4,60298,613,14829,69,T.J.,Oshie,USA,RW,12/23/86 0:00,180.34,195,R
59,8471699,1.37293E+11,1700,50886,11,3,68,86,0,0,30,17,37,24,20,0,0,31,2,44513,5971,402,68,Andrew,Cogliano,CAN,LW,6/14/87 1:00,177.8,177,L
60,8471702,1.37293E+11,272,89372,25,8,126,124,4,9,29,0,0,14,56,1,0,84,15,70283,10723,8366,68,Matt,Niskanen,USA,D,12/6/86 0:00,185.42,203,R
61,8471707,1.11046E+11,1210,53814,12,19,112,88,12,5,12,11,31,24,29,0,0,17,-20,44208,76,9530,55,James,Neal,CAN,LW,9/3/87 1:00,187.96,221,L
62,8471709,1.41331E+11,1960,85238,10,5,74,37,0,0,10,0,0,18,40,1,0,97,-10,72364,11754,1120,70,Marc-Edouard,Vlasic,CAN,D,3/30/87 1:00,185.42,205,L
63,8471716,98932007261,833,33909,3,0,40,103,0,0,25,38,69,10,18,0,0,26,-14,29056,3425,1428,49,Justin,Abdelkader,USA,LW,2/25/87 0:00,187.96,214,L
64,8471724,1.2316E+11,305,94155,29,15,177,101,6,9,38,0,0,31,80,0,0,91,0,73238,8058,12859,61,Kris,Letang,CAN,D,4/24/87 1:00,182.88,201,R
65,8471729,1.11046E+11,1210,55373,9,0,45,71,0,0,14,0,0,31,38,0,1,101,0,47682,7655,36,55,Kris,Russell,CAN,D,5/2/87 1:00,177.8,173,L
66,8471735,1.39312E+11,897,81544,40,5,129,18,2,19,20,0,1,25,66,0,0,51,0,65971,231,15342,69,Keith,Yandle,USA,D,9/9/86 1:00,185.42,196,L
67,8471743,32304321840,112,13695,2,1,23,26,0,0,4,39,70,3,3,0,0,7,2,12090,1600,5,16,Vladimir,Sobotka,CZE,LW,7/2/87 1:00,177.8,184,L
68,8471769,54513560338,1431,30396,4,1,18,20,0,0,14,0,0,11,20,0,1,45,-2,26039,4319,38,27,Niklas,Hjalmarsson,SWE,D,6/6/87 1:00,190.5,197,L
69,8471794,1.37293E+11,1156,56032,7,9,102,88,0,0,37,15,28,24,30,1,1,26,-6,49107,6786,139,68,Darren,Helm,CAN,LW,1/21/87 0:00,182.88,196,L
70,8471804,60570623505,870,24756,6,4,55,46,0,0,22,6,12,4,12,0,0,8,-7,23481,720,555,30,Nathan,Gerbe,USA,C,7/24/87 1:00,162.56,176,L
71,8471817,1.4335E+11,3834,43221,7,8,61,316,0,0,47,24,52,17,7,0,0,24,-6,42184,2,1035,71,Ryan,Reaves,CAN,RW,1/20/87 0:00,185.42,225,R
72,8471873,1.39312E+11,897,87211,14,5,89,68,0,0,14,0,0,40,48,0,1,96,-6,76540,10316,355,69,Anton,Stralman,SWE,D,8/1/86 1:00,180.34,190,R
73,8471887,1.04989E+11,260,49708,15,17,168,107,3,4,36,2,6,12,8,0,0,41,9,39265,8,10435,52,Patric,Hornqvist,SWE,RW,1/1/87 0:00,180.34,189,R
74,8472382,1.27198E+11,73,73885,12,2,60,30,0,1,16,0,0,16,41,0,2,155,1,61663,12120,102,63,Andy,Greene,USA,D,10/30/82 0:00,180.34,190,L
75,8473412,14133141269,364,6783,3,2,13,3,0,0,2,48,106,2,2,0,0,3,4,5565,564,654,7,Bryan,Little,CAN,C,11/12/87 0:00,182.88,191,R
76,8473415,98932012191,833,48278,3,0,55,115,0,0,24,0,0,4,30,0,0,46,-9,43147,5059,72,49,Alex,Biega,CAN,D,4/4/88 1:00,177.8,193,R
77,8473419,1.41331E+11,420,81699,59,28,185,55,5,23,82,22,51,43,71,1,2,19,25,59529,6666,15504,70,Brad,Marchand,CAN,LW,5/11/88 1:00,175.26,181,L
78,8473422,1.35274E+11,1943,75044,21,10,131,212,2,2,62,159,319,39,35,0,1,50,-3,61350,6016,7678,67,Nick,Foligno,USA,LW,10/31/87 0:00,182.88,202,L
79,8473446,1.19122E+11,1239,74505,13,3,99,97,0,0,20,0,0,32,27,0,0,115,9,62507,10666,1332,59,Erik,Johnson,USA,D,3/21/88 0:00,193.04,225,R
80,8473449,1.04989E+11,364,40084,10,9,82,55,1,0,28,38,71,15,13,0,0,15,-3,37668,303,2113,52,Kyle,Okposo,USA,RW,4/16/88 1:00,182.88,220,R
81,8473453,1.13065E+11,1456,40022,6,6,92,68,0,0,16,45,116,11,14,0,0,22,-7,37011,2794,217,56,Trevor,Lewis,USA,C,1/8/87 0:00,185.42,201,R
82,8473463,96912990218,96,36278,10,4,46,123,0,0,10,34,86,13,16,0,1,29,2,32197,3999,82,48,Leo,Komarov,FIN,C,1/23/87 0:00,180.34,210,L
83,8473473,1.37293E+11,1360,54397,12,8,83,198,5,3,54,20,46,19,42,0,0,20,-6,48127,36,6234,68,Milan,Lucic,CAN,LW,6/7/88 1:00,190.5,236,L
84,8473485,32304325469,64,7469,1,0,5,35,0,0,21,0,0,3,1,0,0,4,-7,7423,23,23,16,Chris,Stewart,CAN,RW,10/30/87 0:00,187.96,242,R
85,8473504,74703753291,74,29803,4,3,35,127,0,0,22,4,9,12,21,1,1,38,6,24757,4949,97,37,Cal,Clutterbuck,CAN,RW,11/18/87 0:00,180.34,216,R
86,8473507,1.4335E+11,568,100732,29,11,158,177,3,9,26,0,0,30,88,1,0,79,-10,81602,8889,10241,71,Jeff,Petry,USA,D,12/9/87 0:00,190.5,208,R
87,8473512,1.39312E+11,276,78597,32,21,197,45,7,13,28,663,1123,37,35,1,1,16,7,61899,3845,12853,69,Claude,Giroux,CAN,C,1/12/88 0:00,180.34,185,R
88,8473533,1.37293E+11,816,71428,19,8,125,149,2,1,40,699,1284,30,41,0,0,36,3,57130,9586,4712,68,Jordan,Staal,CAN,C,9/10/88 1:00,193.04,220,L
89,8473544,1.33255E+11,132,54239,22,10,110,115,3,7,16,197,357,26,40,0,0,24,-2,47261,163,6815,66,Derick,Brassard,CAN,C,9/22/87 1:00,185.42,202,L
90,8473546,92874937706,2438,34133,3,8,61,21,0,0,6,0,4,31,11,1,0,12,-4,27756,6289,88,46,Michael,Grabner,AUT,RW,10/5/87 1:00,185.42,188,L
91,8473548,1.41331E+11,3710,72024,24,14,153,11,9,8,22,2,9,19,41,0,0,20,-21,58606,175,13243,70,Phil,Kessel,USA,RW,10/2/87 1:00,182.88,202,R
92,8473560,98932003809,1158,47132,3,1,39,97,0,0,37,0,0,2,28,0,1,96,-2,42037,5016,79,49,Korbinian,Holzer,DEU,D,2/16/88 0:00,190.5,214,R
93,8473563,1.2316E+11,915,69628,42,12,132,30,2,16,14,516,1048,34,42,0,0,45,-1,55070,826,13732,61,Nicklas,Backstrom,SWE,C,11/23/87 0:00,185.42,210,L
94,8473564,1.15084E+11,893,42624,8,6,70,32,0,0,28,6,21,32,28,2,1,22,-12,37898,4679,47,57,Michael,Frolik,CZE,RW,2/17/88 0:00,185.42,194,L
95,8473573,98932010737,441,40715,5,15,87,6,5,1,8,185,370,19,16,0,0,25,-15,35400,695,4620,49,Artem,Anisimov,RUS,C,5/24/88 1:00,193.04,198,L
96,8473604,1.41331E+11,1120,83063,42,18,172,56,1,7,48,856,1494,58,40,1,0,35,-2,61078,8075,13910,70,Jonathan,Toews,CAN,C,4/29/88 1:00,187.96,201,L
97,8473618,98932000513,2548,38535,8,7,71,69,2,0,10,13,19,17,11,0,0,19,-9,34282,0,4253,49,Mathieu,Perreault,CAN,C,1/5/88 0:00,177.8,188,L
98,8473914,14133140287,364,4451,0,0,5,3,0,0,0,25,46,0,1,0,0,5,0,3971,410,70,7,Mark,Letestu,CAN,C,2/4/85 0:00,177.8,195,R
99,8473986,1.37293E+11,952,73135,23,26,130,59,8,5,20,5,19,27,26,0,0,15,19,53518,8988,10629,68,Alex,Killorn,CAN,LW,9/14/89 1:00,185.42,196,L
100,8473991,8076083940,32,3340,0,0,4,1,0,0,0,0,0,0,1,0,0,4,-1,3177,163,0,4,Karl,Alzner,CAN,D,9/24/88 1:00,190.5,217,L
101,8473994,1.39312E+11,1725,68049,20,19,163,167,8,6,53,244,437,52,56,0,0,57,-4,56977,1147,9925,69,Jamie,Benn,CAN,LW,7/18/89 1:00,187.96,209,L
102,8474000,20190204852,60,8181,2,0,13,15,0,2,2,0,0,4,1,0,0,8,2,7686,195,300,10,Steven,Kampfer,USA,D,9/24/88 1:00,180.34,195,R
103,8474008,2019020303,6,382,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,351,0,31,1,Paul,Carey,USA,C,9/24/88 1:00,185.42,200,L
104,8474009,1.35274E+11,1206,66407,17,18,104,17,1,0,16,488,928,47,22,0,0,89,17,50143,10471,5793,67,Nick,Bonino,USA,C,4/20/88 1:00,185.42,196,L
105,8474013,1.31236E+11,1365,69024,22,4,92,83,0,0,36,0,0,18,37,0,0,122,21,59613,9340,71,65,Ian,Cole,USA,D,2/21/89 0:00,185.42,219,L
106,8474027,1.25179E+11,248,64241,16,3,70,91,0,1,18,0,0,10,31,0,0,84,-2,56907,7115,219,62,Justin,Braun,USA,D,2/10/87 0:00,187.96,205,R
