weapon_name,source_url,Country of Origin,Type,Caliber,Capacity,Length,Barrel Length,Weight,Rate of Fire,Muzzle Velocity,Range,Ammunition Weight
Arisaka Type 38,https://ww2db.com/weapon.php?q=S25,Japan,Rifle,6.500 mm,5 rounds,1.280 m,800.000 mm,4.300 kg,30 rounds/min,765 m/s,,
Arisaka Type 44,https://ww2db.com/weapon.php?q=S237,Japan,Rifle,6.500 mm,5 rounds,966.000 mm,487.000 mm,3.300 kg,,685 m/s,,
Arisaka Type 99,https://ww2db.com/weapon.php?q=S26,Japan,Rifle,7.700 mm,5 rounds,1.120 m,657.000 mm,4.200 kg,,730 m/s,,
Austen,https://ww2db.com/weapon.php?q=S278,Australia,Submachine Gun,9.000 mm,30 rounds,552.000 mm,198.000 mm,3.980 kg,500 rounds/min,366 m/s,,
AVS-36,https://ww2db.com/weapon.php?q=S373,Russia,Rifle,7.620 mm,15 rounds,1.230 m,612.000 mm,4.300 kg,800 rounds/min,840 m/s,600.000 m,
Beretta M1918,https://ww2db.com/weapon.php?q=S17,Italy,Submachine Gun,9.000 mm,25 rounds,1.092 m,305.000 mm,3.300 kg,900 rounds/min,,,
Beretta M1934,https://ww2db.com/weapon.php?q=S14,Italy,Handgun,9.000 mm,7 rounds,150.000 mm,88.000 mm,0.660 kg,,229 m/s,,
Beretta M1935,https://ww2db.com/weapon.php?q=S372,Italy,Handgun,7.650 mm,8 rounds,150.000 mm,88.000 mm,,,282 m/s,,
Beretta M1938,https://ww2db.com/weapon.php?q=S18,Italy,Submachine Gun,9.000 mm,30 rounds,800.000 mm,315.000 mm,4.200 kg,600 rounds/min,429 m/s,,
Berthier,https://ww2db.com/weapon.php?q=S341,France,Rifle,7.500 mm,5 rounds,,,,,640 m/s,,
Blyskawica,https://ww2db.com/weapon.php?q=S206,Poland,Submachine Gun,9.000 mm,32 rounds,730.000 mm,197.000 mm,3.220 kg,600 rounds/min,400 m/s,200.000 m,
Bodeo M1889,https://ww2db.com/weapon.php?q=S273,Italy,Handgun,10.350 mm,6 rounds,232.000 mm,115.000 mm,0.950 kg,,255 m/s,,
Boys,https://ww2db.com/weapon.php?q=S43,United Kingdom,Anti-Tank Rifle,13.900 mm,5 rounds,1.575 m,910.000 mm,16.300 kg,10 rounds/min,747 m/s,90.000 m,
Breda Model 30,https://ww2db.com/weapon.php?q=S20,Italy,Machine Gun,6.500 mm,20 rounds,1.230 m,450.000 mm,10.200 kg,475 rounds/min,630 m/s,800.000 m,
Breda Model 37,https://ww2db.com/weapon.php?q=S21,Italy,Machine Gun,8.000 mm,20 rounds,1.270 m,,19.500 kg,450 rounds/min,900 m/s,500.000 m,
Bren,https://ww2db.com/weapon.php?q=S40,United Kingdom,Machine Gun,7.700 mm,30 rounds,1.156 m,635.000 mm,10.200 kg,500 rounds/min,744 m/s,550.000 m,
Browning Automatic Rifle M1918 'BAR',https://ww2db.com/weapon.php?q=S52,United States,Machine Gun,7.620 mm,20 rounds,1.214 m,610.000 mm,9.980 kg,550 rounds/min,805 m/s,548.000 m,
Browning Hi-Power,https://ww2db.com/weapon.php?q=S34,Belgium,Handgun,9.000 mm,13 rounds,197.000 mm,118.000 mm,0.992 kg,,350 m/s,50.000 m,
Browning M1917,https://ww2db.com/weapon.php?q=S53,United States,Machine Gun,7.620 mm,250 rounds,,609.000 mm,15.000 kg,500 rounds/min,,,
Browning M1919,https://ww2db.com/weapon.php?q=S54,United States,Machine Gun,7.620 mm,250 rounds,1.219 m,609.000 mm,14.000 kg,500 rounds/min,,1.370 km,
Browning M2,https://ww2db.com/weapon.php?q=S55,United States,Machine Gun,12.700 mm,110 rounds,1.650 m,1.143 m,38.200 kg,500 rounds/min,930 m/s,,
Carcano M1891,https://ww2db.com/weapon.php?q=S15,Italy,Rifle,6.500 mm,6 rounds,1.295 m,780.000 mm,3.800 kg,,700 m/s,600.000 m,
Carcano M1938,https://ww2db.com/weapon.php?q=S16,Italy,Rifle,7.350 mm,6 rounds,1.021 m,530.000 mm,3.700 kg,,701 m/s,,
Colt M1911A1,https://ww2db.com/weapon.php?q=S44,United States,Handgun,11.430 mm,7 rounds,219.300 mm,127.800 mm,1.130 kg,,252 m/s,20.000 m,
Colt M1917,https://ww2db.com/weapon.php?q=S45,United States,Handgun,11.500 mm,6 rounds,274.000 mm,140.000 mm,1.100 kg,,,45.000 m,
CZ vzor 38,https://ww2db.com/weapon.php?q=S209,Czechoslovakia,Handgun,9.000 mm,8 rounds,200.000 mm,120.000 mm,0.900 kg,,,,
Danuvia 39M,https://ww2db.com/weapon.php?q=S281,Hungary,Submachine Gun,9.000 mm,40 rounds,953.000 mm,424.000 mm,3.630 kg,750 rounds/min,450 m/s,,
De Lisle Carbine,https://ww2db.com/weapon.php?q=S150,United Kingdom,Rifle,11.430 mm,11 rounds,894.000 mm,210.000 mm,3.740 kg,25 rounds/min,260 m/s,185.000 m,
Degtyaryov Pekhotny 'DP',https://ww2db.com/weapon.php?q=S63,Russia,Machine Gun,7.620 mm,47 rounds,1.270 m,604.500 mm,9.100 kg,550 rounds/min,840 m/s,800.000 m,
Degtyaryov PTRD-41,https://ww2db.com/weapon.php?q=S68,Russia,Anti-Tank Rifle,14.500 mm,1 round,2.020 m,1.350 m,17.300 kg,,"1,012 m/s",800.000 m,
DShK M1938,https://ww2db.com/weapon.php?q=S66,Russia,Machine Gun,12.700 mm,50 rounds,1.655 m,1.070 m,35.500 kg,550 rounds/min,850 m/s,,
EMP,https://ww2db.com/weapon.php?q=S279,Germany,Submachine Gun,9.000 mm,32 rounds,950.000 mm,320.000 mm,4.000 kg,550 rounds/min,380 m/s,150.000 m,
Enfield No. 2,https://ww2db.com/weapon.php?q=S33,United Kingdom,Handgun,9.700 mm,6 rounds,260.000 mm,,0.780 kg,,170 m/s,180.000 m,
FG 42,https://ww2db.com/weapon.php?q=S4,Germany,Rifle,7.920 mm,20 rounds,937.000 mm,502.000 mm,4.500 kg,900 rounds/min,760 m/s,,
Fiat-Revelli M1935,https://ww2db.com/weapon.php?q=S19,Italy,Machine Gun,8.000 mm,50 rounds,1.250 m,,18.100 kg,500 rounds/min,750 m/s,1.000 km,
